base_trained_task_count,replicate_count,loss_mean,loss_sample_sd,token_accuracy_mean,token_accuracy_sample_sd,sequence_accuracy_mean,sequence_accuracy_sample_sd,loss_improvement_from_zero_shot_mean,loss_improvement_from_zero_shot_sample_sd,token_accuracy_improvement_from_zero_shot_mean,token_accuracy_improvement_from_zero_shot_sample_sd,sequence_accuracy_improvement_from_zero_shot_mean,sequence_accuracy_improvement_from_zero_shot_sample_sd,loss_improvement_over_random_mean,loss_improvement_over_random_sample_sd,token_accuracy_improvement_over_random_mean,token_accuracy_improvement_over_random_sample_sd,sequence_accuracy_improvement_over_random_mean,sequence_accuracy_improvement_over_random_sample_sd
1,3,3.6716617081999776,0.9683737476837705,0.5761,0.018716586895051162,0.16635,0.026016389065356478,1.7577990533034005,0.7202425771926945,0.02983333333333335,0.009460322845090088,0.034816666666666655,0.027839914391630822,-1.7850595652302108,0.8588895266629007,-0.09308333333333331,0.030361986238277176,-0.17648333333333333,0.048705270077614125
2,3,2.717916786748171,0.5119912000309332,0.6035499999999999,0.013084437320725784,0.20788333333333334,0.026065126766109035,1.7743514993846414,0.6795263490502967,0.03319999999999999,0.015333195198653157,0.06636666666666667,0.03052058048814493,-0.8313146437784037,0.6405144757685403,-0.06563333333333334,0.03329433447800591,-0.13495000000000001,0.06309946513243991
4,3,1.7987728023350238,0.21839590399458958,0.6271,0.007871943851425785,0.25721666666666665,0.010680862948906947,1.9919751942495505,0.26116140207861205,0.07032499999999998,0.008357967755381706,0.14154999999999998,0.016896671269809337,0.08782934063474335,0.23877589998654722,-0.04208333333333334,0.02621512365664776,-0.08561666666666667,0.04792651492997728
8,3,1.4692982848614455,0.4926742622153382,0.6519166666666667,0.030604741598865573,0.3177166666666667,0.043558476021703686,1.46038303826948,0.3012660177055822,0.08511666666666669,0.011024414194565329,0.17015000000000002,0.022186538711570135,0.41730385810832177,0.4679434830022271,-0.01726666666666665,0.025656691784665713,-0.025116666666666673,0.027099461864275712
16,3,1.141608883891503,0.26439145083169,0.667925,0.0180522332413472,0.33585,0.036104466482694365,1.2543876011113326,0.2801030204334962,0.08899166666666668,0.028803497328160232,0.17798333333333335,0.057606994656320444,0.7449932590782642,0.21033302835781595,-0.0012583333333333242,0.006997380462239646,-0.006983333333333339,0.011537908533756604
