base_trained_task_count,target_family,replicate_count,loss_mean,loss_sample_sd,token_accuracy_mean,token_accuracy_sample_sd,sequence_accuracy_mean,sequence_accuracy_sample_sd,loss_improvement_from_zero_shot_mean,loss_improvement_from_zero_shot_sample_sd,token_accuracy_improvement_from_zero_shot_mean,token_accuracy_improvement_from_zero_shot_sample_sd,sequence_accuracy_improvement_from_zero_shot_mean,sequence_accuracy_improvement_from_zero_shot_sample_sd,loss_improvement_over_random_mean,loss_improvement_over_random_sample_sd,token_accuracy_improvement_over_random_mean,token_accuracy_improvement_over_random_sample_sd,sequence_accuracy_improvement_over_random_mean,sequence_accuracy_improvement_over_random_sample_sd
1,local,3,3.9528927903493245,1.5514271574781433,0.5635333333333333,0.10751787448295903,0.1674,0.17146673146706912,1.4102010258992514,1.1262002436072271,0.02739999999999999,0.027649050616612512,0.01646666666666666,0.016346661228927854,-1.8433563086191815,1.5918308902885374,-0.06239999999999999,0.13494032014190568,-0.09420000000000002,0.2226091642318438
1,positional,3,3.5639731639544165,1.5347958206358412,0.5695666666666667,0.04173875097955531,0.14233333333333334,0.08104081276328201,1.5415338898976643,1.0272583678312832,0.021700000000000025,0.018124017214734715,0.021866666666666656,0.026570911413298065,-1.5229172557512918,1.8194158308816482,-0.07019999999999998,0.06928665095095882,-0.13920000000000002,0.13441086265626004
1,cycle,3,3.2780753563404086,0.8050689623777105,0.5953666666666667,0.04456369972672078,0.19726666666666667,0.08393862837414806,2.205247692553202,1.3039580628108112,0.02453333333333335,0.034410511959767964,0.026000000000000006,0.029214380020804818,-1.7478964856942498,0.726937260162737,-0.14246666666666666,0.028500233917168674,-0.2829333333333333,0.061690950173695115
1,global_run,3,3.8917055221557617,1.4393404186713268,0.5759333333333333,0.04917492585996786,0.15839999999999999,0.0957574018026805,1.8742136048634845,0.6824866099626727,0.045700000000000025,0.024230352865775618,0.07493333333333332,0.06857122817431033,-2.02606821085612,1.1290635918180143,-0.09726666666666665,0.06979801811895046,-0.18960000000000002,0.13772683108240025
2,local,3,2.7868019062042237,1.2663767142755655,0.6179,0.056992367910098256,0.2358,0.11398473582019657,1.0749159694035846,0.8919835264418896,0.01416666666666666,0.007031595361888613,0.028066666666666674,0.013923122255203143,-0.6772654244740804,1.4553270405585375,-0.008033333333333318,0.08908116149519682,-0.025800000000000003,0.1690705178320573
2,positional,3,2.8792343132654827,0.25018976881206956,0.5869333333333333,0.035253415910140286,0.17459999999999998,0.07140084033118937,1.422579238096873,0.7105606049380667,0.01153333333333334,0.013160673741618759,0.023466666666666663,0.02641994196309548,-0.8381784050623575,0.44344614691665313,-0.05283333333333334,0.06206007841868504,-0.10693333333333332,0.12352980746902072
2,cycle,3,2.3792520529111223,0.5755405609142126,0.6241333333333333,0.05911094089365631,0.249,0.11948489444277045,2.824969522253672,1.1490984362453467,0.0886,0.07244742921594943,0.17653333333333332,0.14591508946415835,-0.8490731822649638,0.47521834888448977,-0.11370000000000002,0.01802026636873048,-0.2312,0.02950050847019423
2,global_run,3,2.8263788746118546,0.6991063747159567,0.5852333333333334,0.01699009515374566,0.17213333333333333,0.03312119160497298,1.7749412677844365,0.6083955642330316,0.01849999999999998,0.021375921032788247,0.03740000000000001,0.04268067478379413,-0.9607415633122126,1.1897112067688898,-0.08796666666666665,0.08616555769757038,-0.1758666666666667,0.174207041572186
4,local,3,1.8647682547092437,0.5086056620476669,0.6255333333333334,0.031822057339734255,0.25106666666666666,0.06364411467946848,1.7348838523387908,0.43357378234855787,0.060433333333333304,0.020652441340755147,0.12086666666666668,0.04130488268151035,0.24476822702089937,0.7040902978812587,-0.00040000000000001146,0.059627929697416135,-0.010533333333333339,0.11002878411276451
4,positional,3,1.8549906939824423,0.12558081234617252,0.6186666666666667,0.02177207691823023,0.2373333333333333,0.04354415383646046,1.4621436778386432,0.1934569260135162,0.05176666666666665,0.032210143329909825,0.10353333333333335,0.06442028665981961,0.18606521422068276,0.4278150514206685,-0.021100000000000025,0.007700000000000012,-0.044199999999999996,0.01578480281790051
4,cycle,3,1.576706711387634,0.3146411559564191,0.6561333333333333,0.02337912173999134,0.31246666666666667,0.047074975659402434,2.4235259055455525,0.7116659807407174,0.1035,0.05312353527392547,0.206,0.10455639626536484,-0.04652784074147539,0.2859073639521245,-0.08170000000000001,0.039546554843626985,-0.16773333333333332,0.07560432086417636
4,global_run,3,1.8986255492607753,0.812851672655575,0.6080666666666666,0.05834803624230498,0.228,0.09895534346360484,2.3473473412752153,0.3088264487354977,0.0656,0.05012105346059673,0.1358,0.09264404999782772,-0.032988237961133295,0.7769358710694206,-0.06513333333333332,0.04716845697426763,-0.12,0.10030772652193849
8,local,3,1.3495512560844423,0.20163787606879163,0.6381666666666667,0.01832630168182699,0.2763333333333333,0.0366526033636539,1.142377708784739,0.5064088993076333,0.06600000000000002,0.009402659198333215,0.132,0.018805318396666396,0.759985225645701,0.3688739151634263,0.012233333333333355,0.04622881496786756,0.014733333333333326,0.08468207208927597
8,positional,3,1.4481881012439726,0.2407887289572248,0.635,0.024043294283438002,0.2702,0.04774222449781744,1.6140288337230684,1.5455072976728104,0.07370000000000004,0.05553521405378752,0.1474,0.11107042810757504,0.5928678069591523,0.24421901011566766,-0.004766666666666641,0.021743121517696917,-0.011333333333333329,0.04475101488607082
8,cycle,3,1.0800574960112572,0.25716885289960817,0.7151333333333333,0.07275419804611508,0.434,0.1516395726715161,1.6868986123363177,1.1640701731466598,0.13156666666666667,0.011528370801346284,0.2631333333333334,0.02305674160269254,0.4501213746349017,0.31283856167769747,-0.022700000000000015,0.014404166064024705,-0.04620000000000002,0.03957726620169713
8,global_run,3,1.9993962861061096,1.5554608340525418,0.6193666666666666,0.14133486241311213,0.2903333333333334,0.20392158623680168,1.3982269982337951,0.8687818723023703,0.06920000000000003,0.07313173045949346,0.13806666666666667,0.14660263753880193,-0.13375897480646778,1.3503382019653811,-0.053833333333333296,0.07735582287929806,-0.05766666666666667,0.0707520553293919
16,local,3,1.1602323714574176,0.1769935785708404,0.6369333333333334,0.02767694588160578,0.27386666666666665,0.055353891763211475,1.574919323285421,0.7262255731094536,0.05520000000000003,0.012874781551544886,0.1104,0.025749563103089724,0.9493041102727254,0.057789556537860866,0.011000000000000029,0.010548459603183768,0.012266666666666653,0.015484616021501264
16,positional,3,1.161620660575231,0.3122844502566114,0.6478333333333334,0.03244415715245711,0.2956666666666667,0.0648883143049142,0.897980832306544,0.6213336808077331,0.06183333333333333,0.013394899526809983,0.12366666666666666,0.02678979905361989,0.879435247627894,0.30737593155734494,0.008066666666666666,0.010345208230544894,0.014133333333333336,0.024035251888285532
16,cycle,3,0.9299355741182963,0.1529043234195575,0.73,0.07509840211349374,0.45999999999999996,0.15019680422698742,0.5871300552686055,0.35614181693378527,0.11330000000000001,0.07908653488426459,0.2266,0.15817306976852918,0.6002432965278626,0.20356502411296287,-0.00783333333333334,0.03006165885864139,-0.020200000000000006,0.05594604543665263
16,global_run,3,1.3146469294150671,0.6662421760529718,0.6569333333333334,0.09618842619220536,0.3138666666666667,0.19237685238441068,1.9575201935847601,0.5050236543482335,0.12563333333333335,0.10199040804572425,0.2512666666666667,0.2039808160914485,0.5509903818845749,0.524824933998411,-0.01626666666666665,0.010430883631473101,-0.03413333333333334,0.019734572033194262
