condition,data_multiplier,model_multiplier,architecture,seed_count,structured_holdout_loss_mean,structured_holdout_loss_sample_sd,structured_holdout_token_accuracy_mean,structured_holdout_token_accuracy_sample_sd,structured_holdout_sequence_accuracy_mean,structured_holdout_sequence_accuracy_sample_sd,parity_loss_mean,parity_loss_sample_sd,parity_token_accuracy_mean,parity_token_accuracy_sample_sd,parity_sequence_accuracy_mean,parity_sequence_accuracy_sample_sd
baseline,1,1,transformer,3,6.205516393462396,0.8726120566849882,0.2192113314905705,0.04777601537694017,0.0,0.0,5.011339738718669,0.4236237804933363,0.5045,0.0074505033387013446,0.011933333333333332,0.012426316161008191
baseline,1,1,mlp,3,7.886760359380138,1.2550540876722631,0.2691759194975398,0.006775507246394921,0.0,0.0,4.744619156901042,1.1299169932621118,0.5191,0.004927473997901984,0.0382,0.009854947995803933
data10x_model1x,10,1,transformer,3,13.56085806329336,1.3865972268369366,0.14409094794445967,0.04821603265185316,0.0,0.0,8.526856735229492,1.5953246764801114,0.501,0.001732050807568879,0.002,0.0034641016151377548
data10x_model1x,10,1,mlp,3,8.89029430018982,0.9192808709206505,0.31178754485533133,0.0017885282272989004,0.0,0.0,7.1783808186848965,2.006280395022967,0.5442333333333333,0.03841618582490115,0.08886666666666666,0.07664889649129551
data1x_model2x,1,2,transformer,3,6.604103134525039,1.439818756869417,0.22591726921129776,0.08984339226352932,0.0,0.0,6.529236447143554,1.311968448707276,0.3415333333333333,0.1516803327176379,0.011466666666666667,0.015422494394012057
data1x_model2x,1,2,mlp,3,8.1911226749098,0.5206829626806949,0.2623728090958058,0.009874578284151926,0.0,0.0,4.404967726135254,0.29347492509882045,0.5254666666666666,0.010908864896648643,0.05093333333333333,0.021817729793297318
data10x_model2x,10,2,transformer,3,11.676699869697138,1.1396390780126686,0.15247966364392027,0.058962680011390975,0.0,0.0,8.87648775990804,2.029497673537158,0.47913333333333336,0.024121428923953383,0.0044666666666666665,0.007736493607140986
data10x_model2x,10,2,mlp,3,10.525407284296612,0.9339907869128977,0.27189015312594794,0.024290606846846342,0.0,0.0,7.399793405151367,0.9914041709213925,0.5225,0.009153687781435462,0.04800000000000001,0.014147791347061919
