pool,trained_task_count,task_status,task_count,macro_loss,macro_token_accuracy,macro_sequence_accuracy,macro_majority_baseline_sequence_accuracy,macro_sequence_accuracy_minus_majority
A,1,seen,1,0.07880177944898606,0.984375,0.96875,0.4375,0.53125
A,1,same_pool_unseen,15,3.9462686347961426,0.5779166666666666,0.1675,0.3433333333333334,-0.17583333333333334
A,1,opposite_pool,16,4.079214756190777,0.5634765625,0.15,0.307421875,-0.157421875
A,2,seen,2,0.20083551667630672,0.928125,0.85625,0.4375,0.41875
A,2,same_pool_unseen,14,4.292099291937692,0.5544642857142857,0.12544642857142857,0.3366071428571429,-0.2111607142857143
A,2,opposite_pool,16,4.184090775251389,0.56484375,0.15625,0.307421875,-0.151171875
A,4,seen,4,0.4911384806036949,0.7703125,0.540625,0.3421875,0.1984375
A,4,same_pool_unseen,12,3.689823540051778,0.5463541666666667,0.109375,0.3515625,-0.2421875
A,4,opposite_pool,16,3.8745716869831086,0.537109375,0.098828125,0.307421875,-0.20859375
A,8,seen,8,0.4525572514161468,0.805859375,0.61171875,0.34140625,0.2703125
A,8,same_pool_unseen,8,3.4995296001434326,0.540234375,0.10390625,0.35703125,-0.253125
A,8,opposite_pool,16,3.4743170708417894,0.5298828125,0.078515625,0.307421875,-0.22890625
A,16,seen,16,0.5326942938379943,0.7802734375,0.560546875,0.34921875,0.211328125
A,16,opposite_pool,16,2.731471982598305,0.574609375,0.14921875,0.307421875,-0.158203125
B,1,seen,1,0.0010084480047225953,1.0,1.0,0.075,0.925
B,1,same_pool_unseen,15,6.663488483428955,0.52875,0.057499999999999996,0.3229166666666667,-0.2654166666666667
B,1,opposite_pool,16,6.717286020517349,0.525390625,0.0515625,0.34921875,-0.29765625
B,2,seen,2,0.08481116220355034,0.9640625,0.9281250000000001,0.23750000000000002,0.690625
B,2,same_pool_unseen,14,5.958769409997123,0.5279017857142857,0.05580357142857143,0.31741071428571427,-0.26160714285714287
B,2,opposite_pool,16,5.975431203842163,0.52578125,0.0515625,0.34921875,-0.29765625
B,4,seen,4,0.2875309307128191,0.87734375,0.7546875,0.2515625,0.503125
B,4,same_pool_unseen,12,3.3453588247299195,0.54921875,0.09843750000000001,0.3260416666666667,-0.2276041666666667
B,4,opposite_pool,16,3.3877582430839537,0.541015625,0.08203125,0.34921875,-0.2671875
B,8,seen,8,0.3341873413417488,0.8625,0.725,0.22968750000000002,0.4953125
B,8,same_pool_unseen,8,3.0924695491790772,0.559375,0.11875,0.38515625,-0.26640625
B,8,opposite_pool,16,3.1150109082460404,0.552734375,0.10546875,0.34921875,-0.24375000000000002
B,16,seen,16,0.44161462276242675,0.8087890625,0.617578125,0.307421875,0.31015625
B,16,opposite_pool,16,2.058906164765358,0.5880859375,0.176171875,0.34921875,-0.17304687500000002
