replicate_id,model_seed,trained_task_count,layer,pool_direction_count,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
r0,17,1,embedding,2,-6.938893903907228e-18,-0.0010408173197787606,1.0251327043353742,0.38741302490234375,0.42256927490234375,-0.03515625
r0,17,1,block_01,2,0.16520138343248914,0.36224317325048816,0.931624993774935,0.4507293701171875,0.42256927490234375,0.02816009521484375
r0,17,1,block_02,2,0.25598786220608416,0.4643320953999679,0.875904815709781,0.476043701171875,0.42256927490234375,0.05347442626953125
r0,17,1,block_03,2,0.2575264926467273,0.4664039101474524,0.875012930911478,0.47625732421875,0.42256927490234375,0.05368804931640625
r0,17,1,block_04,2,0.24295651276280772,0.451712763991865,0.8843392370900262,0.46987152099609375,0.42256927490234375,0.04730224609375
r0,17,1,final_norm,2,0.24304064289759825,0.45290359511061606,0.8842497417214659,0.46891021728515625,0.42256927490234375,0.0463409423828125
r0,17,2,embedding,2,0.0,-0.0007203280927387042,1.0251327043353742,0.38741302490234375,0.42256927490234375,-0.03515625
r0,17,2,block_01,2,0.16692067809716604,0.3683837189411087,0.9309284716925484,0.45751953125,0.42256927490234375,0.03495025634765625
r0,17,2,block_02,2,0.2570601363747441,0.47214561503995733,0.8757018333277993,0.4807891845703125,0.42256927490234375,0.05821990966796875
r0,17,2,block_03,2,0.2669666919525955,0.4846652409688293,0.8695238579826104,0.48236846923828125,0.42256927490234375,0.0597991943359375
r0,17,2,block_04,2,0.2665092811591034,0.4830767130823218,0.8693757123817959,0.4828338623046875,0.42256927490234375,0.06026458740234375
r0,17,2,final_norm,2,0.26254563915908746,0.47978144450656485,0.8722160831250289,0.480499267578125,0.42256927490234375,0.05792999267578125
r0,17,4,embedding,2,0.0,-0.0015199417909327892,1.0251327043353742,0.38741302490234375,0.42256927490234375,-0.03515625
r0,17,4,block_01,2,0.20126113045931882,0.41986717528977463,0.91083125490297,0.46782684326171875,0.42256927490234375,0.045257568359375
r0,17,4,block_02,2,0.27125831954781143,0.4921145325915088,0.8669017852593107,0.48593902587890625,0.42256927490234375,0.0633697509765625
r0,17,4,block_03,2,0.28500792086303245,0.5037208057851658,0.8572176617898297,0.4902496337890625,0.42256927490234375,0.06768035888671875
r0,17,4,block_04,2,0.28972279081233676,0.5081799092857324,0.8542152916401287,0.4888763427734375,0.42256927490234375,0.06630706787109375
r0,17,4,final_norm,2,0.2835287350374851,0.5030389626268279,0.8586341308175012,0.48740386962890625,0.42256927490234375,0.0648345947265625
r0,17,8,embedding,2,6.938893903907228e-18,-0.000362116242476805,1.0251327043353742,0.38741302490234375,0.42256927490234375,-0.03515625
r0,17,8,block_01,2,0.19799326965964978,0.4150009755741491,0.9138652154304945,0.46047210693359375,0.42256927490234375,0.03790283203125
r0,17,8,block_02,2,0.27829993433304545,0.4931680769819701,0.8609042815472073,0.4864654541015625,0.42256927490234375,0.06389617919921875
r0,17,8,block_03,2,0.29745016229046783,0.5129257531347937,0.8481620079832353,0.4946136474609375,0.42256927490234375,0.07204437255859375
r0,17,8,block_04,2,0.3054286915325597,0.5224679713384174,0.8433977033863204,0.49596405029296875,0.42256927490234375,0.073394775390625
r0,17,8,final_norm,2,0.29342786828380363,0.5112454146938843,0.8517126233087138,0.49120330810546875,0.42256927490234375,0.068634033203125
r0,17,16,embedding,2,-2.0816681711721685e-17,-0.00045938962431851387,1.0251327043353742,0.38741302490234375,0.42256927490234375,-0.03515625
r0,17,16,block_01,2,0.23441548299568288,0.4508474599648695,0.8891778266649257,0.47388458251953125,0.42256927490234375,0.0513153076171875
r0,17,16,block_02,2,0.30129254104249925,0.5114096895196399,0.8441273847614493,0.49559783935546875,0.42256927490234375,0.073028564453125
r0,17,16,block_03,2,0.31049657585644186,0.5198536252970707,0.8379007071796453,0.500579833984375,0.42256927490234375,0.07801055908203125
r0,17,16,block_04,2,0.32004357887542817,0.5274908611018803,0.8302687653518832,0.5040206909179688,0.42256927490234375,0.081451416015625
r0,17,16,final_norm,2,0.311234822500683,0.5212220449451641,0.8371626814416684,0.5007553100585938,0.42256927490234375,0.07818603515625
