model_kind,replicate_id,pool,run_id,model_seed,trained_task_count,trained_tasks,probe_task,probe_task_family,task_status,layer,selected_ridge_alpha,tuning_length_conditioned_r2,probe_train_examples,probe_tune_examples,probe_test_examples,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,nontrivial_cycle_count,cycle,opposite_pool,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.0236583083546795,0.43115234375,0.439208984375,-0.008056640625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,lis_length,global_run,same_pool_untrained,embedding,1e-06,0.0,3072,1024,4096,0.0,0.004626422015392425,1.0408273734047722,0.391845703125,0.38623046875,0.005615234375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,lds_length,global_run,opposite_pool,embedding,1e-06,0.0,3072,1024,4096,0.0,-0.008436376413435233,1.0382167181433188,0.398681640625,0.40380859375,-0.005126953125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,longest_increasing_run,global_run,same_pool_untrained,embedding,1e-06,2.220446049250313e-16,3072,1024,4096,0.0,0.0,1.056409122114062,0.482666015625,0.505126953125,-0.0224609375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,longest_decreasing_run,global_run,opposite_pool,embedding,1e-06,0.0,3072,1024,4096,2.220446049250313e-16,0.0,1.0370608767512652,0.479248046875,0.50390625,-0.024658203125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,global_descents,global_run,same_pool_untrained,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.249772510335538,0.78271484375,0.8095703125,-0.02685546875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,components,global_run,opposite_pool,embedding,1e-06,0.0,3072,1024,4096,-2.220446049250313e-16,0.0,1.0068669210510999,0.77099609375,0.812255859375,-0.041259765625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,max_displacement,global_run,same_pool_untrained,embedding,1e-06,0.0,3072,1024,4096,0.0,-0.02355583892326887,1.0086075367956526,0.246337890625,0.2568359375,-0.010498046875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,displacement_one_count,global_run,opposite_pool,embedding,1e-06,0.0,3072,1024,4096,0.0,0.0,1.0051280221866934,0.252197265625,0.30615234375,-0.053955078125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,descents,local,trained,block_01,0.001,0.10455701620750935,3072,1024,4096,0.11305492066120137,0.33680056987242896,0.9848868680884744,0.395263671875,0.347412109375,0.0478515625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,recoils,local,opposite_pool,block_01,0.001,0.06435550216006802,3072,1024,4096,0.09157179214748357,0.3044436418346068,0.9951520097336194,0.39697265625,0.339599609375,0.057373046875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,peaks,local,same_pool_untrained,block_01,1e-05,0.11052944020990074,3072,1024,4096,0.0989146346198373,0.32088309075596366,0.936028355849122,0.50732421875,0.479248046875,0.028076171875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,valleys,local,opposite_pool,block_01,0.0001,0.09736349211880169,3072,1024,4096,0.08695453258229657,0.2967865013607659,0.9447703344917641,0.4990234375,0.45458984375,0.04443359375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,double_ascents,local,same_pool_untrained,block_01,0.01,0.032867612933920154,3072,1024,4096,0.062018369029716025,0.2530814386031236,0.9811442682708187,0.356201171875,0.352783203125,0.00341796875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,double_descents,local,opposite_pool,block_01,0.001,0.07692993484612831,3072,1024,4096,0.055479920655250536,0.23631873877293808,0.992595211735451,0.368408203125,0.34716796875,0.021240234375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,successions,local,same_pool_untrained,block_01,0.0001,0.027773243338344966,3072,1024,4096,0.05691830100455397,0.24089037252281215,0.9933072097088148,0.410400390625,0.3974609375,0.012939453125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,adjacencies,local,opposite_pool,block_01,1.0,0.015839589415518662,3072,1024,4096,0.031137405753575265,0.17743675843483536,0.9574616241300821,0.370361328125,0.33349609375,0.036865234375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,fixed_points,positional,same_pool_untrained,block_01,1e-05,0.183268379044063,3072,1024,4096,0.23234209810305917,0.48279105598938876,0.9082439216580706,0.44970703125,0.376708984375,0.072998046875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,anti_fixed_points,positional,opposite_pool,block_01,1e-05,0.18771755723650396,3072,1024,4096,0.19157765999200727,0.43890393740954486,0.899141494634579,0.447265625,0.37548828125,0.07177734375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,exceedances,positional,same_pool_untrained,block_01,1e-06,0.3596701941262328,3072,1024,4096,0.4096665928248717,0.6399952500228903,0.7864353562126176,0.45849609375,0.338134765625,0.120361328125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,deficiencies,positional,opposite_pool,block_01,1e-06,0.3786271570902279,3072,1024,4096,0.3614603716786394,0.6021011147590265,0.8166714485324446,0.4462890625,0.332275390625,0.114013671875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,left_to_right_maxima,positional,same_pool_untrained,block_01,1e-06,0.3687791633106702,3072,1024,4096,0.3630847460224711,0.6041559624106774,0.8024112705641628,0.441650390625,0.319580078125,0.1220703125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,left_to_right_minima,positional,opposite_pool,block_01,1e-06,0.4042908461792706,3072,1024,4096,0.38482109069005843,0.6211887813922622,0.80852449104448,0.4541015625,0.305908203125,0.148193359375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,right_to_left_maxima,positional,same_pool_untrained,block_01,1e-06,0.3832474351931683,3072,1024,4096,0.38284464261729845,0.6192453709113491,0.8049165484540303,0.42041015625,0.31298828125,0.107421875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,right_to_left_minima,positional,opposite_pool,block_01,1e-05,0.3746525969806508,3072,1024,4096,0.4078414100274286,0.6387120669643006,0.7864007383606865,0.42236328125,0.308349609375,0.114013671875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,cycle_count,cycle,same_pool_untrained,block_01,0.0001,0.14969036142878023,3072,1024,4096,0.15753927724478112,0.3970634146662672,0.9323463391532855,0.360595703125,0.302734375,0.057861328125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,two_cycle_count,cycle,opposite_pool,block_01,0.001,0.021749136147588666,3072,1024,4096,0.024144646361072164,0.15628800722337666,1.0120620056500178,0.48974609375,0.595947265625,-0.106201171875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,three_cycle_count,cycle,same_pool_untrained,block_01,0.01,0.004859291859511949,3072,1024,4096,0.0068542079140752055,0.0889150408525906,0.961371493387356,0.73046875,0.7275390625,0.0029296875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,even_cycle_count,cycle,opposite_pool,block_01,0.001,0.007154959834513974,3072,1024,4096,0.025745459955408667,0.16212365459029363,0.9941107763185254,0.420166015625,0.406494140625,0.013671875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,odd_cycle_count,cycle,same_pool_untrained,block_01,0.0001,0.12092097468923912,3072,1024,4096,0.16863994965995022,0.4108588903071574,0.9379020382675983,0.36474609375,0.569091796875,-0.204345703125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,longest_cycle,cycle,same_pool_untrained,block_01,0.001,0.08308929357612305,3072,1024,4096,0.07845834719872236,0.28045240610729766,0.973978933586892,0.199951171875,0.15869140625,0.041259765625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,shortest_cycle,cycle,opposite_pool,block_01,1e-05,0.06942622386888897,3072,1024,4096,0.07484141958577839,0.2888086288622294,0.9836501741142161,0.209228515625,0.617431640625,-0.408203125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,nontrivial_cycle_count,cycle,opposite_pool,block_01,0.001,0.035564034938115996,3072,1024,4096,0.07626929121087977,0.27658355202145096,0.9838473190110169,0.450439453125,0.439208984375,0.01123046875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,lis_length,global_run,same_pool_untrained,block_01,1e-05,0.20940817746412166,3072,1024,4096,0.29607080633685345,0.5443054919772786,0.8732592486251465,0.487060546875,0.38623046875,0.100830078125
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,lds_length,global_run,opposite_pool,block_01,1e-05,0.23903102004737686,3072,1024,4096,0.2932787667516942,0.5414877491904372,0.872794674802295,0.477783203125,0.40380859375,0.073974609375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,longest_increasing_run,global_run,same_pool_untrained,block_01,0.0001,0.052247347480120276,3072,1024,4096,0.10823941514416402,0.329144313942614,0.9975996294777765,0.525390625,0.505126953125,0.020263671875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,longest_decreasing_run,global_run,opposite_pool,block_01,0.0001,0.07420701429032317,3072,1024,4096,0.08087538450282183,0.286029420784644,0.9942404986902136,0.5185546875,0.50390625,0.0146484375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,global_descents,global_run,same_pool_untrained,block_01,1e-06,0.3265487470760372,3072,1024,4096,0.2852202385771111,0.5371702823153637,1.056615777704458,0.87744140625,0.8095703125,0.06787109375
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,components,global_run,opposite_pool,block_01,1e-05,0.32767599830043903,3072,1024,4096,0.3531687799039821,0.5942848542846624,0.8097809574262013,0.882080078125,0.812255859375,0.06982421875
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,max_displacement,global_run,same_pool_untrained,block_01,1e-06,0.43972242844403975,3072,1024,4096,0.4134592075823489,0.64444933722718,0.7724516761252598,0.403564453125,0.2568359375,0.146728515625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,displacement_one_count,global_run,opposite_pool,block_01,1e-05,0.216584421616824,3072,1024,4096,0.23368647396543807,0.48509814664995154,0.8798823915789067,0.375,0.30615234375,0.06884765625
trained,r0,a,property-a-transformer-tasks01-seed17,17,1,descents,descents,local,trained,block_02,1e-06,0.9912187095014631,3072,1024,4096,0.9907882599077038,0.9953966382461017,0.10037113160207879,0.9951171875,0.347412109375,0.647705078125
