layer,random_seed_count,length_conditioned_r2_mean,length_conditioned_r2_sample_sd,pearson_r_mean,pearson_r_sample_sd,normalized_rmse_mean,normalized_rmse_sample_sd,exact_accuracy_mean,exact_accuracy_sample_sd,length_mode_baseline_accuracy_mean,length_mode_baseline_accuracy_sample_sd,exact_accuracy_minus_baseline_mean,exact_accuracy_minus_baseline_sample_sd
embedding,3,0.0,6.938893903907228e-18,-0.00170702205238392,5.298712132908156e-05,1.0251327043353742,0.0,0.38741302490234375,0.0,0.42256927490234375,0.0,-0.03515625,0.0
block_01,3,0.1133230696692545,0.013655886344164384,0.30683515753024443,0.020875458434655457,0.9637179779003541,0.007702841292828185,0.43703460693359375,0.005509357954208242,0.42256927490234375,0.0,0.01446533203125,0.005509357954208242
block_02,3,0.20409690922165824,0.004640882998949274,0.3976770233151339,0.009748161294868688,0.9081699112719558,0.0026922028069177677,0.45921579996744794,0.00397004496121375,0.42256927490234375,0.0,0.036646525065104164,0.00397004496121375
block_03,3,0.21363418751557398,0.0036381426918036222,0.40415609419609955,0.008416589274856818,0.9014042101149912,0.001947546453002175,0.4619547526041667,0.0017147364771114338,0.42256927490234375,0.0,0.039385477701822914,0.0017147364771114338
block_04,3,0.21554343984502852,0.0035132205407667305,0.40580377853261257,0.007053312024410883,0.8999770460879789,0.0021309650225322034,0.46317799886067706,0.0016422939988443189,0.42256927490234375,0.0,0.040608723958333336,0.0016422939988443189
final_norm,3,0.21476687064798447,0.002420433433980998,0.4050886694478326,0.005352385634486511,0.9004789265585608,0.0013759338831172575,0.4626363118489583,0.0009536539711371482,0.42256927490234375,0.0,0.040067036946614586,0.0009536539711371482
