comparison,architecture,pool_a,task_count_a,run_id_a,pool_b,task_count_b,run_id_b,layer,probe_examples,linear_cka
within_pool_k16_alignment,transformer,a,2,property-a-transformer-tasks02-seed17,a,16,property-a-transformer-tasks16-seed17,final_norm,4096,0.5758754754435964
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed17,a,16,property-a-transformer-tasks16-seed17,embedding,4096,0.8779481635377763
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed17,a,16,property-a-transformer-tasks16-seed17,block_01,4096,0.602275102846075
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed17,a,16,property-a-transformer-tasks16-seed17,block_02,4096,0.7170595292194877
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed17,a,16,property-a-transformer-tasks16-seed17,block_03,4096,0.7752944736577768
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed17,a,16,property-a-transformer-tasks16-seed17,block_04,4096,0.7965234630404958
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed17,a,16,property-a-transformer-tasks16-seed17,final_norm,4096,0.8427271503821432
within_pool_k16_alignment,transformer,a,8,property-a-transformer-tasks08-seed17,a,16,property-a-transformer-tasks16-seed17,embedding,4096,0.9246104159348025
within_pool_k16_alignment,transformer,a,8,property-a-transformer-tasks08-seed17,a,16,property-a-transformer-tasks16-seed17,block_01,4096,0.5599014842777802
within_pool_k16_alignment,transformer,a,8,property-a-transformer-tasks08-seed17,a,16,property-a-transformer-tasks16-seed17,block_02,4096,0.6497426605474508
within_pool_k16_alignment,transformer,a,8,property-a-transformer-tasks08-seed17,a,16,property-a-transformer-tasks16-seed17,block_03,4096,0.6266517587503969
within_pool_k16_alignment,transformer,a,8,property-a-transformer-tasks08-seed17,a,16,property-a-transformer-tasks16-seed17,block_04,4096,0.6765227993287142
within_pool_k16_alignment,transformer,a,8,property-a-transformer-tasks08-seed17,a,16,property-a-transformer-tasks16-seed17,final_norm,4096,0.7125992472593948
