run_id,architecture,trained_task_count,seed,task,task_status,validation_examples,supervised_tokens,token_accuracy_pct,exact_sequence_accuracy_pct
transformer-tasks01-seed314159,transformer,1,314159,to_reduced_word,fixed_holdout,47,7862,18.990079,0.000000
transformer-tasks01-seed314159,transformer,1,314159,compose,fixed_holdout,108,3784,20.613108,0.925926
transformer-tasks01-seed314159,transformer,1,314159,parity,fixed_holdout,160,320,0.000000,0.000000
transformer-tasks01-seed314159,transformer,1,314159,to_lehmer,fixed_holdout,160,5508,39.578794,0.000000
transformer-tasks02-seed17,transformer,2,17,power,seen,156,5324,67.881292,15.384615
transformer-tasks02-seed17,transformer,2,17,lis_length,seen,160,320,93.125000,86.250000
transformer-tasks02-seed17,transformer,2,17,fixed_points,pool_unseen,160,320,29.375000,3.750000
transformer-tasks02-seed17,transformer,2,17,to_inversion_vector,pool_unseen,160,5462,39.948737,0.000000
transformer-tasks02-seed17,transformer,2,17,pattern_avoidance,pool_unseen,160,320,8.437500,0.000000
transformer-tasks02-seed17,transformer,2,17,lds_length,pool_unseen,160,320,57.500000,22.500000
transformer-tasks02-seed17,transformer,2,17,right_multiply_simple,pool_unseen,156,5144,62.500000,0.000000
transformer-tasks02-seed17,transformer,2,17,conjugate,pool_unseen,109,3550,23.014085,0.917431
transformer-tasks02-seed17,transformer,2,17,to_cycle,pool_unseen,160,5756,42.216817,0.000000
transformer-tasks02-seed17,transformer,2,17,descents,pool_unseen,160,320,52.500000,11.250000
transformer-tasks02-seed17,transformer,2,17,commutator,pool_unseen,110,3816,23.349057,4.545455
transformer-tasks02-seed17,transformer,2,17,length,pool_unseen,160,485,17.319588,3.125000
transformer-tasks02-seed17,transformer,2,17,rsk_shape,pool_unseen,160,2074,42.719383,0.000000
transformer-tasks02-seed17,transformer,2,17,inverse,pool_unseen,160,5594,55.488023,0.000000
transformer-tasks02-seed17,transformer,2,17,cycle_type,pool_unseen,160,1358,31.001473,0.000000
transformer-tasks02-seed17,transformer,2,17,bruhat_leq,pool_unseen,158,316,7.911392,0.000000
transformer-tasks02-seed17,transformer,2,17,to_reduced_word,fixed_holdout,47,7862,16.675146,0.000000
transformer-tasks02-seed17,transformer,2,17,compose,fixed_holdout,108,3784,22.621564,0.925926
transformer-tasks02-seed17,transformer,2,17,parity,fixed_holdout,160,320,26.875000,4.375000
transformer-tasks02-seed17,transformer,2,17,to_lehmer,fixed_holdout,160,5508,39.923747,0.000000
transformer-tasks02-seed42,transformer,2,42,power,seen,156,5324,67.148760,16.666667
transformer-tasks02-seed42,transformer,2,42,lis_length,seen,160,320,95.625000,91.250000
transformer-tasks02-seed42,transformer,2,42,fixed_points,pool_unseen,160,320,23.750000,3.750000
transformer-tasks02-seed42,transformer,2,42,to_inversion_vector,pool_unseen,160,5462,37.275723,0.000000
transformer-tasks02-seed42,transformer,2,42,pattern_avoidance,pool_unseen,160,320,0.000000,0.000000
transformer-tasks02-seed42,transformer,2,42,lds_length,pool_unseen,160,320,54.687500,17.500000
transformer-tasks02-seed42,transformer,2,42,right_multiply_simple,pool_unseen,156,5144,58.806376,0.000000
transformer-tasks02-seed42,transformer,2,42,conjugate,pool_unseen,109,3550,28.253521,0.917431
transformer-tasks02-seed42,transformer,2,42,to_cycle,pool_unseen,160,5756,41.000695,0.000000
transformer-tasks02-seed42,transformer,2,42,descents,pool_unseen,160,320,47.500000,6.875000
transformer-tasks02-seed42,transformer,2,42,commutator,pool_unseen,110,3816,26.624738,4.545455
transformer-tasks02-seed42,transformer,2,42,length,pool_unseen,160,485,8.865979,0.000000
transformer-tasks02-seed42,transformer,2,42,rsk_shape,pool_unseen,160,2074,37.319190,0.000000
transformer-tasks02-seed42,transformer,2,42,inverse,pool_unseen,160,5594,54.254558,0.000000
