model_kind,run_id,architecture,condition,model_seed,trained_tasks,probe_task,probe_task_family,layer,selected_ridge_alpha,tuning_length_conditioned_r2,probe_train_examples,probe_tune_examples,probe_test_examples,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,even_cycle_count,cycle,embedding,1e-06,0.0,6144,2048,8192,0.0,0.0,1.0111505563890062,0.3974609375,0.40771484375,-0.01025390625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,odd_cycle_count,cycle,embedding,1e-06,0.0,6144,2048,8192,0.0,0.0,0.9928792526047006,0.3057861328125,0.5802001953125,-0.2744140625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,longest_cycle,cycle,embedding,1e-06,0.0,6144,2048,8192,0.0,-0.02306303836556584,1.002388866359531,0.1435546875,0.1644287109375,-0.0208740234375
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,shortest_cycle,cycle,embedding,1e-06,0.0,6144,2048,8192,0.0,0.0,1.004064219330732,0.1092529296875,0.6358642578125,-0.526611328125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,nontrivial_cycle_count,cycle,embedding,1e-06,0.0,6144,2048,8192,0.0,0.0,1.0147479301353286,0.4290771484375,0.4312744140625,-0.002197265625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,lis_length,global_run,embedding,1e-06,0.0,6144,2048,8192,0.0,-0.010536073261655107,1.022679339029915,0.390869140625,0.39697265625,-0.006103515625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,lds_length,global_run,embedding,1e-06,0.0,6144,2048,8192,0.0,-0.023310829287849204,1.0371136011049422,0.38720703125,0.396484375,-0.00927734375
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,longest_increasing_run,global_run,embedding,1e-06,0.0,6144,2048,8192,0.0,0.019267943753557743,1.0681850394483854,0.4554443359375,0.5040283203125,-0.048583984375
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,longest_decreasing_run,global_run,embedding,1e-06,0.0,6144,2048,8192,0.0,0.01948398280725102,1.1023380059178607,0.459716796875,0.5018310546875,-0.0421142578125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,global_descents,global_run,embedding,1e-06,0.0,6144,2048,8192,0.0,0.0,1.2434738264527403,0.7889404296875,0.8125,-0.0235595703125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,components,global_run,embedding,1e-06,0.0,6144,2048,8192,0.0,0.004841277101432609,1.241825229327309,0.7493896484375,0.804931640625,-0.0555419921875
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,max_displacement,global_run,embedding,1.0,0.0,6144,2048,8192,0.0,-0.011160229469160475,1.0210438164840894,0.238037109375,0.2574462890625,-0.0194091796875
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,displacement_one_count,global_run,embedding,1e-06,0.0,6144,2048,8192,0.0,0.0,0.9899467911205587,0.2646484375,0.3072509765625,-0.0426025390625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,descents,local,block_01,0.0001,0.16671732574659215,6144,2048,8192,0.18852607615588146,0.4348862566983563,0.9197679543958786,0.38037109375,0.3338623046875,0.0465087890625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,recoils,local,block_01,0.0001,0.1467236273823892,6144,2048,8192,0.1722286681062033,0.4150057098364902,0.9204883437700144,0.364501953125,0.33642578125,0.028076171875
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,peaks,local,block_01,0.0001,0.06088234071393073,6144,2048,8192,0.07065867450875563,0.2776248737642654,0.9516854518082934,0.480712890625,0.4635009765625,0.0172119140625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,valleys,local,block_01,0.001,0.0890444555347133,6144,2048,8192,0.06740473482490394,0.2667630068844551,0.9586094396837259,0.4677734375,0.45556640625,0.01220703125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,double_ascents,local,block_01,0.0001,0.0757941842193065,6144,2048,8192,0.0843973869911977,0.29639361904134154,0.9692964450792624,0.3382568359375,0.344482421875,-0.0062255859375
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,double_descents,local,block_01,0.001,0.08402983729482616,6144,2048,8192,0.08411633129221352,0.2907150326132803,0.9534545364739224,0.3487548828125,0.3399658203125,0.0087890625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,successions,local,block_01,1e-05,0.09725869677434285,6144,2048,8192,0.07492353312805533,0.283532027575406,1.026924675686265,0.3629150390625,0.398681640625,-0.0357666015625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,adjacencies,local,block_01,0.0001,0.05271771281044202,6144,2048,8192,0.06831783482888021,0.26583488273879224,1.008477663468281,0.3323974609375,0.329345703125,0.0030517578125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,fixed_points,positional,block_01,1e-06,0.2160180945477601,6144,2048,8192,0.2009326426117226,0.45285710977054394,0.9051187057447165,0.40576171875,0.369873046875,0.035888671875
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,anti_fixed_points,positional,block_01,0.0001,0.24178183573152856,6144,2048,8192,0.2125584947663507,0.4622111215681174,0.8852429777978199,0.4039306640625,0.37939453125,0.0245361328125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,exceedances,positional,block_01,1e-05,0.2898772263599664,6144,2048,8192,0.2830625349731255,0.5353767007974979,0.843964251102021,0.4217529296875,0.3426513671875,0.0791015625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,deficiencies,positional,block_01,1e-06,0.25990622502011307,6144,2048,8192,0.2563789601541089,0.5088609484990123,0.8639182940879371,0.4197998046875,0.34033203125,0.0794677734375
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,left_to_right_maxima,positional,block_01,1e-06,0.173729035634811,6144,2048,8192,0.18519408755472144,0.4315022160441925,0.9237081457729829,0.3458251953125,0.3026123046875,0.043212890625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,left_to_right_minima,positional,block_01,1e-05,0.287941888715989,6144,2048,8192,0.2728651026123342,0.5239522926470428,0.8406066597057181,0.3656005859375,0.307373046875,0.0582275390625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,right_to_left_maxima,positional,block_01,0.0001,0.5283190364249221,6144,2048,8192,0.5197634865034405,0.7210110681624013,0.7138223520317747,0.4981689453125,0.3045654296875,0.193603515625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,right_to_left_minima,positional,block_01,1e-05,0.6156483160462994,6144,2048,8192,0.5813567168257938,0.7624634845151522,0.6649343003208734,0.531494140625,0.2933349609375,0.2381591796875
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,cycle_count,cycle,block_01,0.0001,0.11944780053381099,6144,2048,8192,0.12658959852986984,0.359603546952879,0.9315479116262148,0.3489990234375,0.3079833984375,0.041015625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,two_cycle_count,cycle,block_01,0.01,0.02519744527398815,6144,2048,8192,0.0264606803120776,0.16339714895343274,0.99671574841563,0.47119140625,0.6026611328125,-0.1314697265625
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,three_cycle_count,cycle,block_01,10.0,0.000848801421302503,6144,2048,8192,0.0002739615239347737,0.01698646065229036,1.0001866277740605,0.7235107421875,0.7235107421875,0.0
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,even_cycle_count,cycle,block_01,0.1,0.027066622264408147,6144,2048,8192,0.025811795723830078,0.16091384764348401,0.9980154361968984,0.4136962890625,0.40771484375,0.0059814453125
trained,category-encoding-e4-transformer-seed17,transformer,encoding_e4,17,to_cycle|to_lehmer|to_inversion_vector|to_reduced_word,odd_cycle_count,cycle,block_01,0.0001,0.1354778184976142,6144,2048,8192,0.13903504205574013,0.3763255040607537,0.9212747609950167,0.345703125,0.5802001953125,-0.2344970703125
