model_kind,run_id,architecture,condition,model_seed,layer,probe_task_family,probe_task_count,length_conditioned_r2,pearson_r,normalized_rmse,exact_accuracy,length_mode_baseline_accuracy,exact_accuracy_minus_baseline
random,random-mlp-seed17,mlp,random_init,17,block_01,all,32,0.0019525918734654008,0.03913140819810844,1.0292784273640383,0.3815956115722656,0.4211578369140625,-0.039562225341796875
random,random-mlp-seed17,mlp,random_init,17,block_01,cycle,8,0.000813318502930066,0.02290574712797654,1.0036570414470318,0.3571014404296875,0.4817047119140625,-0.124603271484375
random,random-mlp-seed17,mlp,random_init,17,block_01,global_run,8,0.0017276565999660293,0.046227002375642715,1.0898702349634295,0.466766357421875,0.4976806640625,-0.030914306640625
random,random-mlp-seed17,mlp,random_init,17,block_01,local,8,-2.707094242428154e-05,0.01290175764563452,1.0168157220415426,0.371978759765625,0.3752288818359375,-0.0032501220703125
random,random-mlp-seed17,mlp,random_init,17,block_01,positional,8,0.005296463333389789,0.07449112564317997,1.0067707110041488,0.330535888671875,0.33001708984375,0.000518798828125
random,random-mlp-seed17,mlp,random_init,17,embedding,all,32,-6.938893903907228e-18,-0.00021023961821501507,1.0302822599035704,0.3819007873535156,0.4211578369140625,-0.039257049560546875
random,random-mlp-seed17,mlp,random_init,17,embedding,cycle,8,0.0,-0.0028766196140582842,1.0040621451047635,0.359466552734375,0.4817047119140625,-0.1222381591796875
random,random-mlp-seed17,mlp,random_init,17,embedding,global_run,8,0.0,-0.0007867863722096156,1.0908257061107252,0.4667816162109375,0.4976806640625,-0.0308990478515625
random,random-mlp-seed17,mlp,random_init,17,embedding,local,8,0.0,0.002566547578018067,1.0167965545539535,0.3724822998046875,0.3752288818359375,-0.00274658203125
random,random-mlp-seed17,mlp,random_init,17,embedding,positional,8,-2.7755575615628914e-17,0.0002558999353897721,1.0094446338448388,0.3288726806640625,0.33001708984375,-0.0011444091796875
random,random-mlp-seed17,mlp,random_init,17,final_norm,all,32,0.001872367171305931,0.03939983299228643,1.0293145586061752,0.3819389343261719,0.4211578369140625,-0.039218902587890625
random,random-mlp-seed17,mlp,random_init,17,final_norm,cycle,8,0.0008085700368657966,0.022693996607965793,1.0036594152602347,0.356689453125,0.4817047119140625,-0.1250152587890625
random,random-mlp-seed17,mlp,random_init,17,final_norm,global_run,8,0.0021029523108131304,0.051783217768402105,1.0896644440633783,0.4661712646484375,0.4976806640625,-0.0315093994140625
random,random-mlp-seed17,mlp,random_init,17,final_norm,local,8,-9.741130335792769e-05,0.007429801335150063,1.0168520472204836,0.37249755859375,0.3752288818359375,-0.0027313232421875
random,random-mlp-seed17,mlp,random_init,17,final_norm,positional,8,0.004675357640902725,0.07569231625762776,1.0070823278806043,0.3323974609375,0.33001708984375,0.00238037109375
random,random-mlp-seed314159,mlp,random_init,314159,block_01,all,32,0.00239480601641643,0.03782368172805265,1.0290619386294786,0.3825836181640625,0.4211578369140625,-0.03857421875
random,random-mlp-seed314159,mlp,random_init,314159,block_01,cycle,8,-0.00030262207655357143,0.009983734150361512,1.004216290718543,0.3578948974609375,0.4817047119140625,-0.123809814453125
random,random-mlp-seed314159,mlp,random_init,314159,block_01,global_run,8,0.001911689372289152,0.048697962215064866,1.089789156125285,0.4671783447265625,0.4976806640625,-0.0305023193359375
random,random-mlp-seed314159,mlp,random_init,314159,block_01,local,8,1.2160539314048924e-05,0.007999879534032547,1.0167898931787753,0.37255859375,0.3752288818359375,-0.0026702880859375
random,random-mlp-seed314159,mlp,random_init,314159,block_01,positional,8,0.00795799623061609,0.08461315101275169,1.005452414495311,0.33270263671875,0.33001708984375,0.002685546875
random,random-mlp-seed314159,mlp,random_init,314159,embedding,all,32,-6.938893903907228e-18,-0.001124211999143228,1.0302822599035701,0.3819007873535156,0.4211578369140625,-0.039257049560546875
random,random-mlp-seed314159,mlp,random_init,314159,embedding,cycle,8,0.0,-0.0031085729351518912,1.0040621451047635,0.359466552734375,0.4817047119140625,-0.1222381591796875
random,random-mlp-seed314159,mlp,random_init,314159,embedding,global_run,8,0.0,-0.005049795940394068,1.0908257061107252,0.4667816162109375,0.4976806640625,-0.0308990478515625
random,random-mlp-seed314159,mlp,random_init,314159,embedding,local,8,-2.7755575615628914e-17,0.003498781964177299,1.0167965545539535,0.3724822998046875,0.3752288818359375,-0.00274658203125
random,random-mlp-seed314159,mlp,random_init,314159,embedding,positional,8,0.0,0.00016273891479574865,1.0094446338448388,0.3288726806640625,0.33001708984375,-0.0011444091796875
random,random-mlp-seed314159,mlp,random_init,314159,final_norm,all,32,0.0022466059223824053,0.03762498455727156,1.0291384065242413,0.3825798034667969,0.4211578369140625,-0.038578033447265625
random,random-mlp-seed314159,mlp,random_init,314159,final_norm,cycle,8,-0.0002842266909772878,0.010902772600721394,1.0042069531668498,0.3583526611328125,0.4817047119140625,-0.12335205078125
random,random-mlp-seed314159,mlp,random_init,314159,final_norm,global_run,8,0.0016711569048092345,0.047814258256037336,1.0899196195537058,0.4670867919921875,0.4976806640625,-0.0305938720703125
random,random-mlp-seed314159,mlp,random_init,314159,final_norm,local,8,1.990402730420171e-05,0.008769713194211428,1.016785906509559,0.3725738525390625,0.3752288818359375,-0.002655029296875
random,random-mlp-seed314159,mlp,random_init,314159,final_norm,positional,8,0.007579589448393473,0.08301319417811609,1.0056411468668502,0.332305908203125,0.33001708984375,0.002288818359375
random,random-mlp-seed42,mlp,random_init,42,block_01,all,32,0.004736267197994748,0.05448770687773792,1.02787582707468,0.3865318298339844,0.4211578369140625,-0.034626007080078125
random,random-mlp-seed42,mlp,random_init,42,block_01,cycle,8,0.001213257805635179,0.029004922439178595,1.0034570029879806,0.35858154296875,0.4817047119140625,-0.1231231689453125
random,random-mlp-seed42,mlp,random_init,42,block_01,global_run,8,0.0051752433410613,0.06456450255459216,1.0881341699570246,0.4752960205078125,0.4976806640625,-0.0223846435546875
random,random-mlp-seed42,mlp,random_init,42,block_01,local,8,-0.00019631712538098478,0.01701423029094913,1.0168987084856458,0.3719024658203125,0.3752288818359375,-0.003326416015625
random,random-mlp-seed42,mlp,random_init,42,block_01,positional,8,0.012752884770663497,0.10736717222623178,1.0030134268680686,0.3403472900390625,0.33001708984375,0.0103302001953125
random,random-mlp-seed42,mlp,random_init,42,embedding,all,32,-3.469446951953614e-18,-3.312907954240772e-05,1.0302822599035701,0.3819007873535156,0.4211578369140625,-0.039257049560546875
