comparison,architecture,pool_a,task_count_a,run_id_a,pool_b,task_count_b,run_id_b,layer,probe_examples,linear_cka
within_pool_k16_alignment,transformer,a,2,property-a-transformer-tasks02-seed101,a,16,property-a-transformer-tasks16-seed101,embedding,4096,0.8161512584957396
within_pool_k16_alignment,transformer,a,2,property-a-transformer-tasks02-seed101,a,16,property-a-transformer-tasks16-seed101,block_01,4096,0.758488657115982
within_pool_k16_alignment,transformer,a,2,property-a-transformer-tasks02-seed101,a,16,property-a-transformer-tasks16-seed101,block_02,4096,0.6607966806630118
within_pool_k16_alignment,transformer,a,2,property-a-transformer-tasks02-seed101,a,16,property-a-transformer-tasks16-seed101,block_03,4096,0.45987867072330507
within_pool_k16_alignment,transformer,a,2,property-a-transformer-tasks02-seed101,a,16,property-a-transformer-tasks16-seed101,block_04,4096,0.2950469681203288
within_pool_k16_alignment,transformer,a,2,property-a-transformer-tasks02-seed101,a,16,property-a-transformer-tasks16-seed101,final_norm,4096,0.21160849136292564
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed101,a,16,property-a-transformer-tasks16-seed101,embedding,4096,0.8886882067455724
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed101,a,16,property-a-transformer-tasks16-seed101,block_01,4096,0.5355240604108045
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed101,a,16,property-a-transformer-tasks16-seed101,block_02,4096,0.45588326564224135
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed101,a,16,property-a-transformer-tasks16-seed101,block_03,4096,0.3428395906412992
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed101,a,16,property-a-transformer-tasks16-seed101,block_04,4096,0.2742664109794641
within_pool_k16_alignment,transformer,a,4,property-a-transformer-tasks04-seed101,a,16,property-a-transformer-tasks16-seed101,final_norm,4096,0.21015138579146517
within_pool_k16_alignment,transformer,a,8,property-a-transformer-tasks08-seed101,a,16,property-a-transformer-tasks16-seed101,embedding,4096,0.8329915773940472
within_pool_k16_alignment,transformer,a,8,property-a-transformer-tasks08-seed101,a,16,property-a-transformer-tasks16-seed101,block_01,4096,0.5788254097097599
within_pool_k16_alignment,transformer,a,8,property-a-transformer-tasks08-seed101,a,16,property-a-transformer-tasks16-seed101,block_02,4096,0.5347324280927103
within_pool_k16_alignment,transformer,a,8,property-a-transformer-tasks08-seed101,a,16,property-a-transformer-tasks16-seed101,block_03,4096,0.4995451357513759
within_pool_k16_alignment,transformer,a,8,property-a-transformer-tasks08-seed101,a,16,property-a-transformer-tasks16-seed101,block_04,4096,0.40159919467996114
within_pool_k16_alignment,transformer,a,8,property-a-transformer-tasks08-seed101,a,16,property-a-transformer-tasks16-seed101,final_norm,4096,0.43605963030889183
within_pool_k16_alignment,transformer,b,1,property-b-transformer-tasks01-seed101,b,16,property-b-transformer-tasks16-seed101,embedding,4096,0.7848678410275458
within_pool_k16_alignment,transformer,b,1,property-b-transformer-tasks01-seed101,b,16,property-b-transformer-tasks16-seed101,block_01,4096,0.6654953581123971
