comparison,architecture,trained_task_count,reference_task_count,layer,pair_count,cka_mean,cka_sample_sd,cka_min,cka_max
cross_architecture,transformer_vs_mlp,1,1,final_norm,3,0.4321663231838593,0.17992044998828635,0.23048271126105946,0.5761840348719207
cross_architecture,transformer_vs_mlp,2,2,final_norm,3,0.5469680728133869,0.10557291637850916,0.47017639365702135,0.6673573217725867
cross_architecture,transformer_vs_mlp,4,4,final_norm,3,0.5129824765235717,0.22440045740409933,0.28145308296917965,0.729500189252751
cross_architecture,transformer_vs_mlp,8,8,final_norm,3,0.45112564940441763,0.16602679594524528,0.27615693691620036,0.6064654343886483
cross_architecture,transformer_vs_mlp,16,16,final_norm,3,0.5326849535657378,0.14432668556097275,0.39347071434305264,0.6816314635405855
k16_alignment,mlp,1,16,block_01,3,0.6293916735436403,0.05896504432476865,0.5677221407908256,0.6852169981322819
k16_alignment,mlp,1,16,embedding,3,0.8829305851803041,0.009891616188260073,0.8717153370765782,0.89041110226028
k16_alignment,mlp,1,16,final_norm,3,0.6286817824328822,0.03494890348833976,0.5884003409364136,0.6509390943703213
k16_alignment,mlp,2,16,block_01,3,0.5985497096048283,0.08924078872420489,0.5066810227828571,0.6849071486212114
k16_alignment,mlp,2,16,embedding,3,0.9143458996607938,0.012932865071215549,0.902836902214617,0.9283415289063403
k16_alignment,mlp,2,16,final_norm,3,0.6336067973260741,0.059993621295073254,0.5982336368450407,0.7028762161302445
k16_alignment,mlp,4,16,block_01,3,0.6284034020862372,0.11075901690824687,0.5023706808955642,0.7102446058000934
k16_alignment,mlp,4,16,embedding,3,0.9358083474689262,0.008647094247501711,0.9272077681575985,0.9445012178645821
k16_alignment,mlp,4,16,final_norm,3,0.5480294315370845,0.1627155714698438,0.3696591217846225,0.6883456107318828
k16_alignment,mlp,8,16,block_01,3,0.5389966524978734,0.2838277528001279,0.2151959116519708,0.7447490859316336
k16_alignment,mlp,8,16,embedding,3,0.8671607292117947,0.025976196347555054,0.8376732353131278,0.8866614241710179
