comparison,architecture,condition_a,condition_b,layer,pair_count,cka_mean,cka_sample_sd,cka_min,cka_max
disjoint_condition_cross_seed,mlp,encoding_e4,algebra_a4,block_01,6,0.19922855753608215,0.04638990226196698,0.14840440134589553,0.26036742955865644
disjoint_condition_cross_seed,mlp,encoding_e4,algebra_a4,embedding,6,0.6616435455371876,0.07210299790625779,0.5498702136609421,0.7576806726852193
disjoint_condition_cross_seed,mlp,encoding_e4,algebra_a4,final_norm,6,0.1660742586392233,0.021875252915824053,0.13981873638342052,0.20324481501991626
disjoint_condition_cross_seed,mlp,encoding_e4,statistics_s4,block_01,6,0.5892800653405882,0.05753714441725524,0.5069832944433035,0.6824808065737277
disjoint_condition_cross_seed,mlp,encoding_e4,statistics_s4,embedding,6,0.6268456610036014,0.02461704850155695,0.5955438603215505,0.6592350904204477
disjoint_condition_cross_seed,mlp,encoding_e4,statistics_s4,final_norm,6,0.5257175306188445,0.10625583176273155,0.42078630944277234,0.6807187260050143
disjoint_condition_cross_seed,mlp,statistics_s4,algebra_a4,block_01,6,0.2581765722307036,0.07544455345209974,0.17059617865004617,0.3621596125887991
disjoint_condition_cross_seed,mlp,statistics_s4,algebra_a4,embedding,6,0.7082328325914986,0.04476930410261021,0.6710656253314677,0.7744203641355302
disjoint_condition_cross_seed,mlp,statistics_s4,algebra_a4,final_norm,6,0.17360336755501457,0.02678368310880443,0.14354024500940812,0.2131575219837236
disjoint_condition_cross_seed,transformer,encoding_e4,algebra_a4,block_01,6,0.5299716072564351,0.07175859119792251,0.4063720592732283,0.5931616144965599
disjoint_condition_cross_seed,transformer,encoding_e4,algebra_a4,block_02,6,0.4699779289149755,0.07772456867308324,0.3837890240603719,0.546694510539205
disjoint_condition_cross_seed,transformer,encoding_e4,algebra_a4,block_03,6,0.47282725633439737,0.034466523286097485,0.42254021258295515,0.5140065559101142
disjoint_condition_cross_seed,transformer,encoding_e4,algebra_a4,block_04,6,0.3850299394873467,0.05074076961802387,0.3297709031475219,0.469017675473533
disjoint_condition_cross_seed,transformer,encoding_e4,algebra_a4,embedding,6,0.8778687564323825,0.030105524760033066,0.819787526204694,0.9012638743263951
disjoint_condition_cross_seed,transformer,encoding_e4,algebra_a4,final_norm,6,0.4228107775854364,0.042132249477377134,0.37916969975488646,0.49852596889677303
disjoint_condition_cross_seed,transformer,encoding_e4,statistics_s4,block_01,6,0.4182917623957627,0.07863512750174666,0.33902550893731187,0.5442080328957426
disjoint_condition_cross_seed,transformer,encoding_e4,statistics_s4,block_02,6,0.3980051124750709,0.05249481382672273,0.31473888213425816,0.46537074975862847
disjoint_condition_cross_seed,transformer,encoding_e4,statistics_s4,block_03,6,0.34449753850569115,0.04823846215308072,0.2747865540252143,0.41615726381506574
disjoint_condition_cross_seed,transformer,encoding_e4,statistics_s4,block_04,6,0.21678071265525845,0.07617136179930045,0.1318858207562178,0.3136844276828411
disjoint_condition_cross_seed,transformer,encoding_e4,statistics_s4,embedding,6,0.8278914871201142,0.02907461057459374,0.7895460762853524,0.8628467077195042
disjoint_condition_cross_seed,transformer,encoding_e4,statistics_s4,final_norm,6,0.22441951781057676,0.06980350756728146,0.149898166034247,0.31861530195462967
disjoint_condition_cross_seed,transformer,statistics_s4,algebra_a4,block_01,6,0.5639287208721145,0.07230962781823864,0.4564439873379561,0.665454204826994
disjoint_condition_cross_seed,transformer,statistics_s4,algebra_a4,block_02,6,0.496484530677513,0.0873510286589863,0.43456118826209905,0.6574284716438034
disjoint_condition_cross_seed,transformer,statistics_s4,algebra_a4,block_03,6,0.42449231257193504,0.08759203509267502,0.3326572762786053,0.5732284028428031
disjoint_condition_cross_seed,transformer,statistics_s4,algebra_a4,block_04,6,0.31801391435434617,0.0470375730605657,0.2738701543916396,0.4055892030901636
disjoint_condition_cross_seed,transformer,statistics_s4,algebra_a4,embedding,6,0.791762594516277,0.05581281122851929,0.7028727798859548,0.8756430199199241
disjoint_condition_cross_seed,transformer,statistics_s4,algebra_a4,final_norm,6,0.31900150141611044,0.059622207030333,0.25404198033336506,0.40615990513629624
disjoint_condition_same_seed,mlp,encoding_e4,algebra_a4,block_01,3,0.29410181019415627,0.13808523009536045,0.15058586808351834,0.42602548194813455
disjoint_condition_same_seed,mlp,encoding_e4,algebra_a4,embedding,3,0.6753059961818456,0.07372422448969466,0.626271127082562,0.760089071737943
disjoint_condition_same_seed,mlp,encoding_e4,algebra_a4,final_norm,3,0.16828880194672177,0.044151662766890136,0.1190720230819809,0.20441460574671785
disjoint_condition_same_seed,mlp,encoding_e4,statistics_s4,block_01,3,0.5620768646806816,0.07545779031305244,0.48125002676521206,0.6306708589229701
disjoint_condition_same_seed,mlp,encoding_e4,statistics_s4,embedding,3,0.628295508897061,0.02059311717323494,0.6143354836354069,0.6519462967327508
disjoint_condition_same_seed,mlp,encoding_e4,statistics_s4,final_norm,3,0.49554255916608364,0.05964133847697174,0.4428914291655458,0.5603126704320397
disjoint_condition_same_seed,mlp,statistics_s4,algebra_a4,block_01,3,0.27028904186662533,0.06744109958797008,0.21866894923961527,0.34659489435766033
disjoint_condition_same_seed,mlp,statistics_s4,algebra_a4,embedding,3,0.7140913373009,0.05862650939746524,0.679491418452419,0.7817817900337992
disjoint_condition_same_seed,mlp,statistics_s4,algebra_a4,final_norm,3,0.18147071340397256,0.03681750389914268,0.15424661194534997,0.2233611095267356
