comparison,architecture,condition_a,seed_a,run_id_a,layer,condition_b,seed_b,run_id_b,probe_examples,linear_cka
disjoint_condition_same_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,final_norm,statistics_s4,42,category-statistics-s4-mlp-seed42,4096,0.4834235779006654
disjoint_condition_same_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,embedding,statistics_s4,314159,category-statistics-s4-mlp-seed314159,4096,0.6143354836354069
disjoint_condition_same_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,block_01,statistics_s4,314159,category-statistics-s4-mlp-seed314159,4096,0.5743097083538625
disjoint_condition_same_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,final_norm,statistics_s4,314159,category-statistics-s4-mlp-seed314159,4096,0.4428914291655458
disjoint_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,embedding,statistics_s4,42,category-statistics-s4-mlp-seed42,4096,0.6264625669399271
disjoint_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,block_01,statistics_s4,42,category-statistics-s4-mlp-seed42,4096,0.5069832944433035
disjoint_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,final_norm,statistics_s4,42,category-statistics-s4-mlp-seed42,4096,0.6807187260050143
disjoint_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,embedding,statistics_s4,314159,category-statistics-s4-mlp-seed314159,4096,0.6592350904204477
disjoint_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,block_01,statistics_s4,314159,category-statistics-s4-mlp-seed314159,4096,0.5958988203823091
disjoint_condition_cross_seed,mlp,encoding_e4,17,category-encoding-e4-mlp-seed17,final_norm,statistics_s4,314159,category-statistics-s4-mlp-seed314159,4096,0.6171576500747781
disjoint_condition_cross_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,embedding,statistics_s4,17,category-statistics-s4-mlp-seed17,4096,0.6507137218548501
disjoint_condition_cross_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,block_01,statistics_s4,17,category-statistics-s4-mlp-seed17,4096,0.6019925569441342
disjoint_condition_cross_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,final_norm,statistics_s4,17,category-statistics-s4-mlp-seed17,4096,0.43812825466907157
disjoint_condition_cross_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,embedding,statistics_s4,314159,category-statistics-s4-mlp-seed314159,4096,0.6226023790181932
disjoint_condition_cross_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,block_01,statistics_s4,314159,category-statistics-s4-mlp-seed314159,4096,0.5888420130066925
disjoint_condition_cross_seed,mlp,encoding_e4,42,category-encoding-e4-mlp-seed42,final_norm,statistics_s4,314159,category-statistics-s4-mlp-seed314159,4096,0.45443628484290466
disjoint_condition_cross_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,embedding,statistics_s4,17,category-statistics-s4-mlp-seed17,4096,0.6065163474666395
disjoint_condition_cross_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,block_01,statistics_s4,17,category-statistics-s4-mlp-seed17,4096,0.5594829006933626
disjoint_condition_cross_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,final_norm,statistics_s4,17,category-statistics-s4-mlp-seed17,4096,0.42078630944277234
disjoint_condition_cross_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,embedding,statistics_s4,42,category-statistics-s4-mlp-seed42,4096,0.5955438603215505
disjoint_condition_cross_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,block_01,statistics_s4,42,category-statistics-s4-mlp-seed42,4096,0.6824808065737277
disjoint_condition_cross_seed,mlp,encoding_e4,314159,category-encoding-e4-mlp-seed314159,final_norm,statistics_s4,42,category-statistics-s4-mlp-seed42,4096,0.5430779586785265
