comparison,architecture,layer,pair_count,cka_mean,cka_sample_sd,cka_min,cka_max
disjoint_condition_cross_seed,mlp,block_01,18,0.3488950650357914,0.18570395066577708,0.14840440134589553,0.6824808065737277
disjoint_condition_cross_seed,mlp,embedding,18,0.6655740130440958,0.05893980585398287,0.5498702136609421,0.7744203641355302
disjoint_condition_cross_seed,mlp,final_norm,18,0.2884650522710275,0.18298178622889677,0.13981873638342052,0.6807187260050143
disjoint_condition_cross_seed,transformer,block_01,18,0.5040640301747707,0.09470651222735824,0.33902550893731187,0.665454204826994
disjoint_condition_cross_seed,transformer,block_02,18,0.4548225240225199,0.08163651339035582,0.31473888213425816,0.6574284716438034
disjoint_condition_cross_seed,transformer,block_03,18,0.4139390358040078,0.07909196792671878,0.2747865540252143,0.5732284028428031
disjoint_condition_cross_seed,transformer,block_04,18,0.3066081888323171,0.09043697801004788,0.1318858207562178,0.469017675473533
disjoint_condition_cross_seed,transformer,embedding,18,0.8325076126895912,0.0524507154603164,0.7028727798859548,0.9012638743263951
disjoint_condition_cross_seed,transformer,final_norm,18,0.3220772656040412,0.09975698036099945,0.149898166034247,0.49852596889677303
disjoint_condition_same_seed,mlp,block_01,9,0.375489238913821,0.1643689572695934,0.15058586808351834,0.6306708589229701
disjoint_condition_same_seed,mlp,embedding,9,0.6725642807932688,0.060897478892061305,0.6143354836354069,0.7817817900337992
disjoint_condition_same_seed,mlp,final_norm,9,0.28176735817225934,0.16569319654553327,0.1190720230819809,0.5603126704320397
disjoint_condition_same_seed,transformer,block_01,9,0.5037875447629705,0.08552157349910212,0.36489550764454864,0.636294767991543
disjoint_condition_same_seed,transformer,block_02,9,0.4666772118434977,0.06159588154762807,0.34969360673468775,0.5382472143863063
disjoint_condition_same_seed,transformer,block_03,9,0.41548591976038873,0.08057643727219675,0.28337529308950404,0.5252063016683282
disjoint_condition_same_seed,transformer,block_04,9,0.3057576793824236,0.10027380349822287,0.1716996899758537,0.4673940220513896
disjoint_condition_same_seed,transformer,embedding,9,0.8355969649890089,0.06525986551530506,0.7014280595889365,0.9030526491395949
disjoint_condition_same_seed,transformer,final_norm,9,0.3243295554050766,0.1017430451107168,0.19588406121769067,0.5059286548245788
random_cross_seed,mlp,block_01,3,0.7613625477066513,0.016500657114281628,0.7454222363687312,0.7783715938518105
random_cross_seed,mlp,embedding,3,0.8947710156023588,0.0054981599281041255,0.8885908768201923,0.8991197255576547
random_cross_seed,mlp,final_norm,3,0.7588235077893305,0.016295923801448765,0.7430417830161588,0.7755890535466354
random_cross_seed,transformer,block_01,3,0.8426245982882206,0.0024676549207747383,0.8398038383761003,0.8443839853311075
random_cross_seed,transformer,block_02,3,0.8630289127814984,0.015890702739279606,0.8521039443249874,0.8812584730930366
random_cross_seed,transformer,block_03,3,0.8839584309223795,0.012667092852480978,0.8743786656270645,0.8983204770662578
random_cross_seed,transformer,block_04,3,0.8847039238332819,0.004473846073742403,0.8805407229746695,0.8894343197718105
random_cross_seed,transformer,embedding,3,0.896554169213089,0.007939500851155292,0.8906762866438797,0.9055860199950057
random_cross_seed,transformer,final_norm,3,0.8833474435767771,0.003836611488966155,0.8806564435888229,0.8877406438539005
within_condition_cross_seed,mlp,block_01,9,0.537373447525527,0.27338677755294916,0.1956815149138792,0.8358691705267944
within_condition_cross_seed,mlp,embedding,9,0.7802767035488415,0.09327673985479498,0.6615942866227703,0.9080960427140016
within_condition_cross_seed,mlp,final_norm,9,0.641891419617324,0.1598333295704844,0.44913693194065607,0.8505007325633899
within_condition_cross_seed,transformer,block_01,9,0.7781877275658284,0.10102849295119366,0.6183249609278169,0.8969200865428972
within_condition_cross_seed,transformer,block_02,9,0.756510075416999,0.09865870335954129,0.6106588444526951,0.8981760706838328
within_condition_cross_seed,transformer,block_03,9,0.7398861529012817,0.12563916829468033,0.5617148085032494,0.8712074229951895
within_condition_cross_seed,transformer,block_04,9,0.5328797443887523,0.1217702949078636,0.3143558510867096,0.668038693966644
within_condition_cross_seed,transformer,embedding,9,0.9302055000770376,0.0262812433188596,0.8892962150678516,0.9682632369005205
within_condition_cross_seed,transformer,final_norm,9,0.5556467388944052,0.1245932497093909,0.3405355657713272,0.7056748443360983
