pool,trained_task_count,run_id,architecture,seed,task,task_family,task_status,evaluation_split,examples,supervised_tokens,loss,token_accuracy,sequence_accuracy,majority_baseline_sequence_accuracy,sequence_accuracy_minus_majority
A,1,property-a-transformer-tasks01-seed17,transformer,17,descents,local,opposite_pool,validation,160,320,7.74355525970459,0.5125,0.025,0.09375,-0.06875
A,1,property-a-transformer-tasks01-seed17,transformer,17,recoils,local,opposite_pool,validation,160,320,7.478809261322022,0.51875,0.0375,0.10625,-0.06875
A,1,property-a-transformer-tasks01-seed17,transformer,17,peaks,local,opposite_pool,validation,160,320,6.207472419738769,0.584375,0.16875,0.1125,0.05625000000000001
A,1,property-a-transformer-tasks01-seed17,transformer,17,valleys,local,same_pool_unseen,validation,160,320,6.41506986618042,0.584375,0.16875,0.1375,0.03125
A,1,property-a-transformer-tasks01-seed17,transformer,17,double_ascents,local,seen,validation,160,320,0.0025168024003505707,1.0,1.0,0.2,0.8
A,1,property-a-transformer-tasks01-seed17,transformer,17,double_descents,local,same_pool_unseen,validation,160,320,5.722368049621582,0.6,0.2,0.23125,-0.03125
A,1,property-a-transformer-tasks01-seed17,transformer,17,successions,local,opposite_pool,validation,160,320,5.600782775878907,0.6,0.2,0.4,-0.2
A,1,property-a-transformer-tasks01-seed17,transformer,17,adjacencies,local,same_pool_unseen,validation,160,320,5.489849472045899,0.609375,0.21875,0.325,-0.10625000000000001
A,1,property-a-transformer-tasks01-seed17,transformer,17,fixed_points,positional,opposite_pool,validation,160,320,5.500197887420654,0.615625,0.23125,0.44375,-0.21249999999999997
A,1,property-a-transformer-tasks01-seed17,transformer,17,anti_fixed_points,positional,same_pool_unseen,validation,160,320,5.91855640411377,0.590625,0.18125,0.4375,-0.25625
A,1,property-a-transformer-tasks01-seed17,transformer,17,exceedances,positional,opposite_pool,validation,160,320,7.51689567565918,0.525,0.05,0.09375,-0.04375
A,1,property-a-transformer-tasks01-seed17,transformer,17,deficiencies,positional,same_pool_unseen,validation,160,320,7.151954650878906,0.5375,0.075,0.1,-0.02500000000000001
A,1,property-a-transformer-tasks01-seed17,transformer,17,left_to_right_maxima,positional,opposite_pool,validation,160,320,6.048053932189942,0.5875,0.175,0.28125,-0.10625000000000001
A,1,property-a-transformer-tasks01-seed17,transformer,17,left_to_right_minima,positional,opposite_pool,validation,160,320,6.088880157470703,0.5875,0.175,0.26875,-0.09375
A,1,property-a-transformer-tasks01-seed17,transformer,17,right_to_left_maxima,positional,same_pool_unseen,validation,160,320,5.837310123443603,0.6,0.2,0.35625,-0.15625
A,1,property-a-transformer-tasks01-seed17,transformer,17,right_to_left_minima,positional,same_pool_unseen,validation,160,320,6.051082134246826,0.58125,0.1625,0.24375,-0.08124999999999999
A,1,property-a-transformer-tasks01-seed17,transformer,17,cycle_count,cycle,same_pool_unseen,validation,160,320,5.922961235046387,0.5875,0.175,0.2625,-0.08750000000000002
A,1,property-a-transformer-tasks01-seed17,transformer,17,two_cycle_count,cycle,same_pool_unseen,validation,160,320,6.574219226837158,0.54375,0.0875,0.675,-0.5875
