shots,initialization,architecture,base_trained_task_count,task,seed_count,loss_mean,loss_sample_sd,token_accuracy_mean,token_accuracy_sample_sd,sequence_accuracy_mean,sequence_accuracy_sample_sd
5,pretrained,mlp,1,to_reduced_word,3,8.2845297251401231,0.35509921140903833,0.02429729566803546,0.00088408547492542684,0,0
5,pretrained,mlp,1,compose,3,9.0208656497008324,0.33146768470778964,0.021029936733467643,0.0015402676276020425,0,0
5,pretrained,mlp,1,parity,3,6.331426551691691,0.57114174093166914,0.53513333333333335,0.00085049005481154904,0.070266666666666658,0.0017009801096230755
5,pretrained,mlp,1,to_lehmer,3,9.8065445820699342,0.28935316756709395,0.013976962633375764,0.0058166933849177847,0,0
5,pretrained,mlp,2,to_reduced_word,3,7.4623130104564375,0.21939512385804436,0.023417084113741205,0.0016552212079261001,0,0
5,pretrained,mlp,2,compose,3,8.2316679692830821,0.28677484795220609,0.020831615201247267,0.0023859042672053372,0,0
5,pretrained,mlp,2,parity,3,5.3380096949259439,0.18667403027231236,0.53209999999999991,0.0037363083384539179,0.064199999999999993,0.0074726166769077621
5,pretrained,mlp,2,to_lehmer,3,9.3005187931495961,0.62158398542718374,0.019849194392865345,0.0077037606323021078,0,0
5,pretrained,mlp,4,to_reduced_word,3,4.8652886879080901,1.3172396686722707,0.3950413062879059,0.038708228678168755,0,0
5,pretrained,mlp,4,compose,3,8.945543004150041,0.49744716131227357,0.11564305265927576,0.012166952748133017,0,0
5,pretrained,mlp,4,parity,3,1.8262960436344147,0.50643725500771708,0.6579666666666667,0.031270486618108974,0.31593333333333334,0.062540973236217989
5,pretrained,mlp,4,to_lehmer,3,2.4137902327188652,0.32627784783689129,0.55124432143315938,0.010294772267255748,0,0
5,pretrained,mlp,8,to_reduced_word,3,4.5465588815093483,0.17416222066908091,0.38342360982009199,0.018390707185934971,0,0
5,pretrained,mlp,8,compose,3,12.407946167176753,1.09873973093973,0.11951915864544431,0.016583450623130273,0,0
5,pretrained,mlp,8,parity,3,2.2292525565147403,0.46475448824050958,0.58553333333333335,0.01856080098846313,0.17106666666666667,0.037121601976926218
5,pretrained,mlp,8,to_lehmer,3,2.541170587834328,0.09928818867534249,0.54461689380934031,0.013474380769457129,0,0
5,pretrained,mlp,16,to_reduced_word,3,2.9984083977082552,0.3407214912494963,0.43465040467388966,0.012142711791672161,0,0
5,pretrained,mlp,16,compose,3,7.1780952213289311,2.6027164202906627,0.21454658985143557,0.078032662234225419,0,0
5,pretrained,mlp,16,parity,3,2.1112732396761573,1.0593800216062228,0.58709999999999996,0.044533695108311004,0.17419999999999999,0.089067390216621925
5,pretrained,mlp,16,to_lehmer,3,1.9948032321548368,0.15365104755061756,0.54523973575930273,0.0082815322584143224,0,0
5,pretrained,transformer,1,to_reduced_word,3,7.8217890235413572,1.0187673938723996,0.029969770129042894,0.001814109541014316,0,0
5,pretrained,transformer,1,compose,3,7.9688588643293414,0.88215560837979734,0.026205932366466775,0.0078194608576028415,0,0
5,pretrained,transformer,1,parity,3,3.3901168805122377,0.66079752691226024,0.56603333333333328,0.029500225987834989,0.13206666666666667,0.059000451975669936
5,pretrained,transformer,1,to_lehmer,3,9.5921091047495466,1.4067653472945973,0.028224472238766462,0.0065905081771884593,0,0
5,pretrained,transformer,2,to_reduced_word,3,5.8715327815059908,0.48289613849721924,0.030688525253598307,0.0040001412257825789,0,0
5,pretrained,transformer,2,compose,3,6.1624737201534385,0.32353476339873477,0.034776957001535519,0.012218262804422939,0,0
5,pretrained,transformer,2,parity,3,2.7993359777450562,1.1612885997431572,0.58356666666666668,0.055886432462032627,0.2268,0.015431137352768274
5,pretrained,transformer,2,to_lehmer,3,8.1297462314079922,0.70614262196316424,0.052460809616679704,0.0098239526559501158,0,0
5,pretrained,transformer,4,to_reduced_word,3,2.2146085010323513,0.11178480633187231,0.50782810749878704,0.0099847730964223759,0,0
5,pretrained,transformer,4,compose,3,3.2780359539695234,0.2062821507860205,0.42525634530724127,0.015358096945123668,0,0
