shots,initialization,architecture,base_trained_task_count,task_count,seed_count,loss_mean,loss_sample_sd,token_accuracy_mean,token_accuracy_sample_sd,sequence_accuracy_mean,sequence_accuracy_sample_sd
5,pretrained,mlp,1,3,3,9.0373133189702965,0.23826371363655505,0.019768065011626288,0.0020062531433186898,0,0
5,pretrained,mlp,2,3,3,8.3314999242963719,0.29529779811178064,0.021365964569284607,0.0025464336457352893,0,0
5,pretrained,mlp,4,3,3,5.4082073082589988,0.64596405468862816,0.35397622679344698,0.020177951698278681,0,0
5,pretrained,mlp,8,3,3,6.4985585455068104,0.39999039738263364,0.34918655409162552,0.009523020351814732,0,0
5,pretrained,mlp,16,3,3,4.0571022837306749,1.0286651387885326,0.39814557676154266,0.030818740315702954,0,0
5,pretrained,transformer,1,3,3,8.460918997540082,1.0071276155167566,0.02813339157809204,0.0047640850784343575,0,0
5,pretrained,transformer,2,3,3,6.7212509110224739,0.41776693887756428,0.039308763957271176,0.0051295112631371291,0,0
5,pretrained,transformer,4,3,3,2.5990799353604568,0.066658045075423611,0.49762316482601587,0.0036256915728247021,0,0
5,pretrained,transformer,8,3,3,2.0548445985201371,0.052601971795540554,0.52165308015308043,0.007299740061185939,0.0020666666666666667,0.0035795716689756797
5,pretrained,transformer,16,3,3,1.8468799344203919,0.060800596463865965,0.52961750256681661,0.0046553054065411889,0.0061555555555555556,0.007195780656694537
5,random,transformer,0,3,3,2.8655597430249191,0.045486855140642053,0.54233608001986633,0.0012203713746979164,0.0027555555555555558,0.0031568854787473563
5,random,mlp,0,3,3,2.9811851381871981,0.042713792698162001,0.51798000575416647,0.0071463937983023253,0.0027555555555555558,0.0031568854787473563
20,pretrained,mlp,1,3,3,9.1755224930014787,0.32559327877940653,0.019855254345669041,0.0019518998122755031,0,0
20,pretrained,mlp,2,3,3,8.5043733376047097,0.20353477770094833,0.021005177302560754,0.001222261223314451,0,0
20,pretrained,mlp,4,3,3,5.6167453421952729,0.6242788505871244,0.35025460101684008,0.019887373639100061,0,0
20,pretrained,mlp,8,3,3,6.7073824233977222,0.38645580185949568,0.34733776061186933,0.0092849733835309364,0,0
20,pretrained,mlp,16,3,3,4.1626880786729297,1.0994171090536813,0.38979616635583231,0.028288311356515092,0,0
20,pretrained,transformer,1,3,3,8.5077181034050025,0.8966063268369554,0.026476899384625635,0.0039623962717753843,0,0
20,pretrained,transformer,2,3,3,6.9920559657533765,0.39619294831867591,0.041530581015070726,0.0025478438489906054,0,0
20,pretrained,transformer,4,3,3,2.5221255305110386,0.049951025866793723,0.50942094729576037,0.0035280875717053992,0,0
20,pretrained,transformer,8,3,3,1.842586570612567,0.025612170690233162,0.53846743115715667,0.0026015794664919515,0.0011333333333333332,0.0013316656236958785
20,pretrained,transformer,16,3,3,1.6977826320916674,0.016664198813336754,0.53902603991823572,0.0031382204337281842,0.00077777777777777784,0.0010715167512214394
20,random,transformer,0,3,3,1.8498705117756955,0.022161609712195829,0.55538624198471098,0.0024468419328194705,0.012155555555555553,0.0029396396856556212
20,random,mlp,0,3,3,2.0913655738671726,0.017451562159123045,0.54317473485711087,0.0014558716643329043,0.0089555555555555551,0.0040057366271293877
100,pretrained,mlp,1,3,3,9.2073876254787184,0.35032404722725285,0.02018216511964285,0.002359929731276023,0,0
100,pretrained,mlp,2,3,3,8.5587763435582911,0.18054994315282719,0.021334176177543004,0.0017535837667186293,0,0
100,pretrained,mlp,4,3,3,5.6360445401641384,0.59970518345646162,0.35037731119928678,0.020350970118855033,0,0
100,pretrained,mlp,8,3,3,6.7120799852728465,0.31436274947355108,0.34643968735443248,0.0060740526655579767,0,0
100,pretrained,mlp,16,3,3,4.1818188843333477,1.0849750067336328,0.38659846585804097,0.026501875104912424,0,0
100,pretrained,transformer,1,3,3,8.595759066539463,0.97401501344844887,0.026268354251250497,0.0033776039933184508,0,0
100,pretrained,transformer,2,3,3,7.01392239371543,0.53330562055913289,0.042026048683591694,0.0033788719292267766,0,0
100,pretrained,transformer,4,3,3,2.4979853296578187,0.042251152086256655,0.51185477580356287,0.0015916406692917143,0,0
100,pretrained,transformer,8,3,3,1.8218336338734888,0.058848451936939189,0.54077311934635897,0.004619245117334852,0.0010666666666666665,0.0018475208614068023
100,pretrained,transformer,16,3,3,1.6867567684405955,0.042077697921902857,0.5407473082456522,0.0063739693947280395,0.00026666666666666663,0.00046188021535170057
100,random,transformer,0,3,3,1.3809425539570552,0.0062535524579807166,0.56763035688587182,0.0011167340193833175,0.026466666666666666,0.0044557079497351843
100,random,mlp,0,3,3,1.526603895446301,0.013587056822044502,0.55555429103848097,0.0012067122939649565,0.02186666666666667,0.0011333333333333334
