shots,initialization,architecture,base_trained_task_count,task_count,seed_count,loss_mean,loss_sample_sd,token_accuracy_mean,token_accuracy_sample_sd,sequence_accuracy_mean,sequence_accuracy_sample_sd
5,pretrained,mlp,1,4,3,8.3608416271506467,0.31070266581550215,0.14860938209205307,0.0014417674204697485,0.017566666666666664,0.00042524502740576888
5,pretrained,mlp,2,4,3,7.5831273669537644,0.18462068519613539,0.14904947342696345,0.0024665082224258183,0.016049999999999998,0.0018681541692269405
5,pretrained,mlp,4,4,3,4.5127294921028529,0.57098815144488191,0.42997383676175199,0.017032985824929809,0.078983333333333336,0.015635243309054497
5,pretrained,mlp,8,4,3,5.4312320482587921,0.18509755283537413,0.40827324890205247,0.0036486623964959494,0.042766666666666668,0.0092804004942315544
5,pretrained,mlp,16,4,3,3.570645022717045,0.66873487750074301,0.44538418257115692,0.016477742653420606,0.043549999999999998,0.022266847554155481
5,pretrained,transformer,1,4,3,7.1932184682831206,0.59388734663930787,0.16260837701690237,0.0044322984238838892,0.033016666666666666,0.014750112993917484
5,pretrained,transformer,2,4,3,5.7407721777031187,0.53248810494026833,0.17537323963462004,0.010965599403299827,0.0567,0.0038577843381920685
5,pretrained,transformer,4,4,3,2.4379053118957867,0.097787399139479009,0.54145904028617853,0.0098493536809636413,0.086483333333333343,0.019989768216098283
5,pretrained,transformer,8,4,3,1.8811601162734162,0.10410366483732762,0.57491481011481027,0.0060164374174765303,0.11890000000000001,0.0065871086221497782
5,pretrained,transformer,16,4,3,1.7181249933805602,0.11913168911965563,0.58156312692511236,0.0037283059376582509,0.12331666666666667,0.0054280137558165124
5,random,transformer,0,4,3,2.4779739958062872,0.067943871121262198,0.59290206001489976,0.0014045435703504672,0.12436666666666667,0.0028750362316557524
5,random,mlp,0,4,3,2.4534536856919935,0.028112365093636682,0.57531000431562485,0.0045571822323390689,0.12571666666666667,0.004090945286035149
20,pretrained,mlp,1,4,3,8.4296423057074286,0.34761052983554458,0.14849977409258511,0.0014279469140693569,0.017216666666666668,0.00011547005383792646
20,pretrained,mlp,2,4,3,7.670822533454082,0.1563117409117388,0.14878721631025391,0.001350097441912592,0.016066666666666667,0.0017134273644754641
20,pretrained,mlp,4,4,3,4.5871658178301464,0.57493595458600644,0.43458261742929666,0.021361028671004638,0.09378333333333333,0.014353164575567765
20,pretrained,mlp,8,4,3,5.4722086016154456,0.27915413364505931,0.41087832045890199,0.0077342245885323787,0.050749999999999997,0.014239030865898145
20,pretrained,mlp,16,4,3,3.537384153484735,0.80635824725210858,0.44486379143354088,0.023085634889840993,0.05503333333333333,0.040849490000896375
20,pretrained,transformer,1,4,3,7.1324922155828503,0.511829888279423,0.16171600787180257,0.0042373464574235924,0.033716666666666666,0.012482621252498743
20,pretrained,transformer,2,4,3,5.7336482544392195,0.22662884107768563,0.19053126909463639,0.0038375244847295219,0.07035000000000001,0.0052538081426713665
20,pretrained,transformer,4,4,3,2.1548719684287136,0.07621153944464959,0.56213237713848707,0.0037377677731838784,0.11013333333333335,0.0025540817005987398
20,pretrained,transformer,8,4,3,1.542338918218993,0.01812124405321933,0.59183390670120095,0.0014454243277002498,0.12681666666666666,0.0031608279506061803
20,pretrained,transformer,16,4,3,1.4805396255466041,0.070920714344255273,0.59144452993867691,0.0047073154298095925,0.12493333333333334,0.0055696349371689791
20,random,transformer,0,4,3,1.7120695657572274,0.019566130846673795,0.60354801482186649,0.002111261412036687,0.13313333333333333,0.0036936883102575715
20,random,mlp,0,4,3,1.8645924627184949,0.022688096516729706,0.59399771780949984,0.0019859989443605807,0.12995000000000001,0.0047531568457184377
100,pretrained,mlp,1,4,3,8.4517121240111805,0.38588504557013348,0.14871162383973213,0.0017470023130006758,0.017149999999999999,4.9999999999999697e-05
100,pretrained,mlp,2,4,3,7.7157032256926534,0.1324458593036999,0.1489339654664906,0.0013396790163391669,0.015866666666666664,0.0014969413259487935
100,pretrained,mlp,4,4,3,4.6113519016245492,0.55308481897073336,0.43466631673279843,0.023482829336319247,0.093766666666666665,0.017338853287727347
100,pretrained,mlp,8,4,3,5.475082823883465,0.2346877918590364,0.41102143218249104,0.0062883935367869957,0.052383333333333337,0.012747973695193026
100,pretrained,mlp,16,4,3,3.5581689841889155,0.78679200219527023,0.44165718272686405,0.022904132649937001,0.053416666666666668,0.039376907361210245
100,pretrained,transformer,1,4,3,7.1852309507370924,0.60408661567637245,0.16034293235510452,0.0040925304247159018,0.031283333333333337,0.0089432003965769086
100,pretrained,transformer,2,4,3,5.7440582896938297,0.38784803665179568,0.1905278698460271,0.011577062466503028,0.068366666666666673,0.019571492874416434
100,pretrained,transformer,4,4,3,2.1133210758591883,0.038123786947783518,0.5648994151860055,0.0023984075938726541,0.11201666666666667,0.002562388208943629
100,pretrained,transformer,8,4,3,1.483342050280392,0.037167282202276421,0.59313817284310255,0.002591778243587633,0.12591666666666668,0.0035673285990126184
100,pretrained,transformer,16,4,3,1.4437370819663438,0.045596785074473553,0.59416881451757242,0.0046090065561907052,0.12741666666666665,7.6376261582604063e-05
100,random,transformer,0,4,3,1.1663082195856298,0.009877990196125069,0.6140644343310705,0.0015699075354730194,0.14653333333333332,0.0020641786098429859
100,random,mlp,0,4,3,1.2724370104824307,0.010314040572996907,0.60396571827886081,0.00024665523871255534,0.14099999999999999,0.0013756816492197618
