shots,architecture,base_trained_task_count,task_count,seed_count,loss_improvement_from_zero_shot_mean,loss_improvement_from_zero_shot_sample_sd,token_accuracy_improvement_from_zero_shot_mean,token_accuracy_improvement_from_zero_shot_sample_sd,sequence_accuracy_improvement_from_zero_shot_mean,sequence_accuracy_improvement_from_zero_shot_sample_sd,loss_improvement_over_random_mean,loss_improvement_over_random_sample_sd,token_accuracy_improvement_over_random_mean,token_accuracy_improvement_over_random_sample_sd,sequence_accuracy_improvement_over_random_mean,sequence_accuracy_improvement_over_random_sample_sd
5,mlp,1,4,3,2.8832609006598067,0.61030908431168296,0.0041842533126393282,0.0029773113819020658,0.00045000000000000015,0.00043588989435406673,-5.9073879414586514,0.32588270428047433,-0.4267006222235718,0.0042690718583984957,-0.10815000000000001,0.0043554563480765049
5,mlp,2,4,3,3.7367543197108808,0.83551933603520945,0.007992777202446448,0.0025612879522672835,0.002166666666666667,0.0025403411844343534,-5.1296736812617709,0.18517117880777689,-0.42626053088866139,0.0020926457328193627,-0.10966666666666668,0.0051498381851601159
5,mlp,4,4,3,2.4325256202742422,0.21619736501043044,0.063701399829179009,0.005988610774965401,0.05071666666666666,0.0095824492345815918,-2.0592758064108589,0.57853600979307951,-0.14533616755387294,0.013117560912663103,-0.046733333333333342,0.017507450794828273
5,mlp,8,4,3,3.6173821573379814,0.19297507534605809,0.065632483848121245,0.0036311657995585817,0.042750000000000003,0.0092543233139976231,-2.9777783625667986,0.1664502093383225,-0.16703675541357241,0.00093644226911468963,-0.08295000000000001,0.0093530743608719377
5,mlp,16,4,3,3.5305800360433195,0.20376720552125976,0.11372724294800214,0.016185619534936975,0.033999999999999996,0.021477488214407193,-1.1171913370250515,0.68153453197581504,-0.1299258217444679,0.012055032328048226,-0.082166666666666666,0.021637313449994967
5,transformer,1,4,3,5.6058718557347378,0.17355770892950287,0.016386277345396168,0.012862350287003462,0.019300000000000001,0.016422621593399762,-4.7152444724768339,0.65131150978881758,-0.43029368299799736,0.0032387366928789125,-0.091350000000000001,0.012700295272158046
5,transformer,2,4,3,6.8353810060825646,0.65098979551882874,0.027920035392866388,0.0031092193594460461,0.040383333333333334,0.0067561700195697683,-3.2627981818968324,0.51086727547699529,-0.41752882038027977,0.012046126884011165,-0.067666666666666653,0.0011750886491381572
5,transformer,4,4,3,3.9170678107409098,0.58829488364763161,0.21254150634647162,0.032209609065620495,0.070933333333333334,0.020729829553890043,0.040068683910499857,0.061720069342816673,-0.051443019728721208,0.011016857992110883,-0.037883333333333331,0.019307403588606446
5,transformer,8,4,3,4.4342089869405212,0.82609092027710607,0.27623705442387131,0.0051099070099107557,0.11085,0.010116941237350345,0.59681387953287046,0.12027251984929811,-0.017987249900089458,0.0063187693066169663,-0.0054666666666666622,0.0053325259805586779
5,transformer,16,4,3,4.1888472363959046,0.85028548878368937,0.29102962830718454,0.039223170245853617,0.12033333333333333,0.0083442095691163738,0.75984900242572673,0.17126942374368312,-0.011338933089787289,0.0034434886371439333,-0.0010499999999999965,0.0051795270054320582
20,mlp,1,4,3,2.814460222103023,0.68752249853657177,0.0040746453131713855,0.0037893750982555484,9.9999999999999395e-05,0.00013228756555323004,-6.5650498429889339,0.35336144939971353,-0.4454979437169147,0.0031851744554132148,-0.11273333333333334,0.0047503508642344908
20,mlp,2,4,3,3.6490591532105632,0.83824992797122033,0.0077305200857369005,0.0025961664486415684,0.0021833333333333336,0.0020738450601077547,-5.8062300707355874,0.15697681548450093,-0.44521050149924596,0.0024325691208845241,-0.11388333333333334,0.0036709444742917775
20,mlp,4,4,3,2.3580892945469487,0.14795678968384993,0.068310180496723827,0.0040770836020927676,0.065516666666666667,0.0052082466659455892,-2.7225733551116509,0.57986581850294028,-0.1594151003802031,0.022680659584803361,-0.036166666666666673,0.018408580426891519
20,mlp,8,4,3,3.5764056039813279,0.24967673086289929,0.068237555404970743,0.0004646154644030949,0.050733333333333332,0.01421709651558058,-3.607616138896951,0.26386998018111951,-0.18311939735059787,0.0088662262495611162,-0.079200000000000007,0.018906149793122873
