learning_rate,base_trained_task_count,replicate_count,pretrained_sequence_accuracy_mean,pretrained_sequence_accuracy_sample_sd,random_sequence_accuracy_mean,random_sequence_accuracy_sample_sd,pretrained_minus_random_mean,pretrained_minus_random_sample_sd
1e-05,1,3,0.16770833333333335,0.026768292032427723,0.22075,0.07965693629559199,-0.053041666666666674,0.07712946232363697
1e-05,2,3,0.20700833333333335,0.0214318153298626,0.22075,0.07965693629559199,-0.01374166666666666,0.09664559720097617
1e-05,4,3,0.26034166666666664,0.012254497473716874,0.22075,0.07965693629559199,0.03959166666666664,0.0842451643023701
1e-05,8,3,0.318975,0.04340267128875827,0.22075,0.07965693629559199,0.098225,0.04500117359580749
1e-05,16,3,0.337825,0.03587282223355168,0.22075,0.07965693629559199,0.11707499999999998,0.05236386516482526
0.0003,1,3,0.34144166666666664,0.02770018426533174,0.34505,0.0400129744582929,-0.003608333333333343,0.03552912830809859
0.0003,2,3,0.355475,0.013226842971775246,0.34505,0.0400129744582929,0.010424999999999999,0.02708377050929209
0.0003,4,3,0.3647833333333333,0.025701815759462083,0.34505,0.0400129744582929,0.019733333333333342,0.018009274231165842
0.0003,8,3,0.35649166666666665,0.03099760407407857,0.34505,0.0400129744582929,0.011441666666666664,0.025827242561553745
0.0003,16,3,0.37465,0.02448407645797569,0.34505,0.0400129744582929,0.029599999999999998,0.016664201901081265
