trained_task_count,replicate_count,macro_loss_mean,macro_loss_sample_sd,macro_token_accuracy_mean,macro_token_accuracy_sample_sd,macro_sequence_accuracy_mean,macro_sequence_accuracy_sample_sd,macro_majority_baseline_sequence_accuracy_mean,macro_majority_baseline_sequence_accuracy_sample_sd,macro_sequence_accuracy_minus_majority_mean,macro_sequence_accuracy_minus_majority_sample_sd
1,3,5.458655157312751,1.5490339536660955,0.5420247395833333,0.006719383978688786,0.12246093749999999,0.0265775749961463,0.32832031250000004,3.204937810639273e-17,-0.20585937499999998,0.0265775749961463
2,3,4.673923995842536,0.7637136028242105,0.5565104166666667,0.010498993113847747,0.11490885416666667,0.02216718002910402,0.32832031250000004,3.204937810639273e-17,-0.21341145833333333,0.02216718002910403
4,3,3.701835356404384,0.3602142806800857,0.5572916666666666,0.008057873564118856,0.11959635416666668,0.019045055307695416,0.32832031250000004,3.204937810639273e-17,-0.20872395833333335,0.019045055307695395
8,3,2.8059716151406366,0.4314587267431184,0.5656249999999999,0.018524595252594898,0.13639322916666666,0.037304346638931396,0.32832031250000004,3.204937810639273e-17,-0.19192708333333333,0.03730434663893141
16,3,2.2307896421601376,0.0757515247473098,0.5833658854166667,0.01236512213124634,0.16718750000000002,0.025002288713595184,0.32832031250000004,3.204937810639273e-17,-0.1611328125,0.025002288713595174
