replicate_id,model_seed,trained_task_count,macro_loss,macro_token_accuracy,macro_sequence_accuracy,macro_majority_baseline_sequence_accuracy,macro_sequence_accuracy_minus_majority
r0,17,1,6.764096880704164,0.534375,0.091796875,0.32832031250000004,-0.2365234375
r0,17,2,4.191874065250158,0.54755859375,0.0958984375,0.32832031250000004,-0.232421875
r0,17,4,3.3470122545957564,0.55712890625,0.11992187500000001,0.32832031250000004,-0.2083984375
r0,17,8,3.2958611458539964,0.54423828125,0.09355468750000001,0.32832031250000004,-0.23476562500000003
r0,17,16,2.238328260555863,0.5880859375,0.1775390625,0.32832031250000004,-0.15078124999999998
r1,42,1,3.7469854678958656,0.5447265625,0.13671875,0.32832031250000004,-0.1916015625
r1,42,2,4.27543401569128,0.56806640625,0.1392578125,0.32832031250000004,-0.1890625
r1,42,4,3.691284802556038,0.5654296875,0.1384765625,0.32832031250000004,-0.18984375
r1,42,8,2.6395304717123507,0.57666015625,0.15390625,0.32832031250000004,-0.17441406250000002
r1,42,16,2.151550667360425,0.5693359375,0.138671875,0.32832031250000004,-0.1896484375
r2,101,1,5.864883123338222,0.54697265625,0.1388671875,0.3283203125,-0.189453125
r2,101,2,5.55446390658617,0.55390625,0.1095703125,0.3283203125,-0.21875
r2,101,4,4.067209012061357,0.54931640625,0.100390625,0.3283203125,-0.22792968749999998
r2,101,8,2.4825232278555633,0.5759765625,0.16171875000000002,0.3283203125,-0.1666015625
r2,101,16,2.3024899985641243,0.59267578125,0.1853515625,0.3283203125,-0.14296875
