trained_task_count,replicate_count,final_layer_linear_cka_mean,final_layer_linear_cka_sample_sd,final_layer_linear_cka_min,final_layer_linear_cka_max
1,3,0.17231328145408456,0.0738090302674174,0.08775865416802138,0.22384582077792706
2,3,0.19195727206207414,0.11985379330561997,0.12269071005500837,0.3303524888153667
4,3,0.21276073589717995,0.09223943867258676,0.15689784555031352,0.3192263593511833
8,3,0.6190409293394183,0.2169404130538313,0.3799590969042832,0.8033356166098011
16,3,0.4961146773175331,0.1502542242002397,0.38788375458486907,0.6676647264906224
