comparison,task_pair_count,final_layer_cka_mean,final_layer_cka_sample_sd,final_layer_cka_min,final_layer_cka_max
same_task,16,0.7095514530829399,0.21393257165978927,0.2825057713122066,0.9774455962383403
direct_relation,8,0.13748197966087153,0.14544772343926385,0.023376347762312396,0.4703921589439047
no_direct_relation,112,0.09032510781575952,0.05712357821725151,0.0190573639805052,0.28152679302764017
