pair_id,condition,seed_count,final_layer_cka_mean,final_layer_cka_sample_sd
decomposition_complement,identity,3,0.07688243035097003,0.08667292944828059
decomposition_complement,correct,3,0.35795009310388376,0.16803484080052788
decomposition_complement,wrong,3,0.07754437044882864,0.08701893398731525
descent_inverse,identity,3,0.18808885247443863,0.05795381510763939
descent_inverse,correct,3,0.4551513990623986,0.20127439228925478
descent_inverse,wrong,3,0.09801780449213425,0.02480624770378811
exceedance_inverse,identity,3,0.14834967432739446,0.03371460462427367
exceedance_inverse,correct,3,0.7817476222750557,0.014612848173512208
exceedance_inverse,wrong,3,0.14481698832141507,0.03043626356744155
fixed_complement,identity,3,0.027008463921443678,0.027593809085121244
fixed_complement,correct,3,0.2140581000879689,0.1460972493400614
fixed_complement,wrong,3,0.027392590910145346,0.027425281252596318
peak_complement,identity,3,0.4696026247647787,0.07270975835978838
peak_complement,correct,3,0.6074675093459762,0.09652375252146589
peak_complement,wrong,3,0.2995858075051854,0.03321153608868418
record_complement,identity,3,0.024613777015913663,0.009084063502012225
record_complement,correct,3,0.35205716490077993,0.021342241461269926
record_complement,wrong,3,0.028642111373549075,0.006818812062162508
run_complement,identity,3,0.053917169853035934,0.018135423394744738
run_complement,correct,3,0.9259650024874427,0.019826301695689455
run_complement,wrong,3,0.05642266539188392,0.016975558330843056
subsequence_complement,identity,3,0.11456418020432126,0.009026515456376822
subsequence_complement,correct,3,0.47394643831431366,0.14754158990293736
subsequence_complement,wrong,3,0.11406272889143261,0.008512087848756445
