logical_run_id,canonical_run_id,kind,split_id,role,related_pair_count,seed,tasks,reused,global_step,seen_task_token_accuracy_macro,seen_task_sequence_accuracy_macro,checkpoint_sha256
geometry-specialist-lds_length-transformer-seed17,geometry-specialist-lds_length-transformer-seed17,specialist,,specialist,,17,lds_length,False,20000,0.975,0.95,c8fc54124bcfe56b458cbc3adf494cdb4948087ae1740ea7da0c4a25ebe50af0
geometry-specialist-lds_length-transformer-seed42,geometry-specialist-lds_length-transformer-seed42,specialist,,specialist,,42,lds_length,False,20000,0.978125,0.95625,4a8731d08dec8280034faf371ddfae85e793f995b00965d2ee5b0033afca1d08
geometry-specialist-lds_length-transformer-seed101,geometry-specialist-lds_length-transformer-seed101,specialist,,specialist,,101,lds_length,False,20000,0.978125,0.95625,854056a90e8cd8b8d72070e9d1d20c69c3c7e9ff57fdda54b161cabb53509eeb
geometry-specialist-longest_increasing_run-transformer-seed17,geometry-specialist-longest_increasing_run-transformer-seed17,specialist,,specialist,,17,longest_increasing_run,False,20000,1.0,1.0,91d1bc7e3c30604f79c3f8c0123836df6c3b0d7080cd3a7ce72d185f1c374d24
geometry-specialist-longest_increasing_run-transformer-seed42,geometry-specialist-longest_increasing_run-transformer-seed42,specialist,,specialist,,42,longest_increasing_run,False,20000,1.0,1.0,c2173d5b795e8944c39887469ba7f16ef2396c8166fb57257b01868128398d70
geometry-specialist-longest_increasing_run-transformer-seed101,geometry-specialist-longest_increasing_run-transformer-seed101,specialist,,specialist,,101,longest_increasing_run,False,20000,1.0,1.0,65d50305862c875f6846bdeb6b955816daccb0641c59af850badf74d4595484e
geometry-specialist-longest_decreasing_run-transformer-seed17,geometry-specialist-longest_decreasing_run-transformer-seed17,specialist,,specialist,,17,longest_decreasing_run,False,20000,1.0,1.0,ada74fbb6d8a04780b91c29636799b1e39a410f83e920deec1e657ee3e843773
geometry-specialist-longest_decreasing_run-transformer-seed42,geometry-specialist-longest_decreasing_run-transformer-seed42,specialist,,specialist,,42,longest_decreasing_run,False,20000,1.0,1.0,39742cc17cab2410109511170d74c65506c24657dc084f5a39815c93416fe8dd
geometry-specialist-longest_decreasing_run-transformer-seed101,geometry-specialist-longest_decreasing_run-transformer-seed101,specialist,,specialist,,101,longest_decreasing_run,False,20000,1.0,1.0,a02ec15708af6e129f783f44da86a438d34a3222ac6fe377809ddcf87c1b8b35
geometry-specialist-left_to_right_maxima-transformer-seed17,geometry-specialist-left_to_right_maxima-transformer-seed17,specialist,,specialist,,17,left_to_right_maxima,False,20000,1.0,1.0,d98793edd6f50563b7a5f07df4890e531346bbead9a08015fbbf57b6941338d9
