split_id,model_seed,related_pair_count,layer,linear_cka,anchor_run_id,other_run_id
s0,42,4,embedding,0.8387853742932343,geometry-bundle-s0-anchor-transformer-seed42,geometry-bundle-s0-r4-transformer-seed42
s0,42,4,block_01,0.1298055889719789,geometry-bundle-s0-anchor-transformer-seed42,geometry-bundle-s0-r4-transformer-seed42
s0,42,4,block_02,0.11026455951229402,geometry-bundle-s0-anchor-transformer-seed42,geometry-bundle-s0-r4-transformer-seed42
s0,42,4,block_03,0.11081256146389416,geometry-bundle-s0-anchor-transformer-seed42,geometry-bundle-s0-r4-transformer-seed42
s0,42,4,block_04,0.15128287092357512,geometry-bundle-s0-anchor-transformer-seed42,geometry-bundle-s0-r4-transformer-seed42
s0,42,4,final_norm,0.19111266546888045,geometry-bundle-s0-anchor-transformer-seed42,geometry-bundle-s0-r4-transformer-seed42
s0,101,0,embedding,0.7361961864449135,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r0-transformer-seed101
s0,101,0,block_01,0.28727208148661326,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r0-transformer-seed101
s0,101,0,block_02,0.25987165182319905,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r0-transformer-seed101
s0,101,0,block_03,0.2566100483571591,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r0-transformer-seed101
s0,101,0,block_04,0.20390038516110418,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r0-transformer-seed101
s0,101,0,final_norm,0.18913953084350338,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r0-transformer-seed101
s0,101,1,embedding,0.759455692601499,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r1-transformer-seed101
s0,101,1,block_01,0.18714722736484313,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r1-transformer-seed101
s0,101,1,block_02,0.17713382690175233,geometry-bundle-s0-anchor-transformer-seed101,geometry-bundle-s0-r1-transformer-seed101
