pair_id,task_left,task_right,model_seed,condition,applied_transform,layer,linear_cka
peak_complement,peaks,valleys,42,identity,identity,final_norm,0.4270626303582962
peak_complement,peaks,valleys,42,correct,complement,embedding,0.8259556900390821
peak_complement,peaks,valleys,42,correct,complement,block_01,0.35480821928987566
peak_complement,peaks,valleys,42,correct,complement,block_02,0.44486136194823217
peak_complement,peaks,valleys,42,correct,complement,block_03,0.634438902347346
peak_complement,peaks,valleys,42,correct,complement,block_04,0.5679965317872151
peak_complement,peaks,valleys,42,correct,complement,final_norm,0.556471899403244
peak_complement,peaks,valleys,42,wrong,inverse,embedding,0.8259556900390821
peak_complement,peaks,valleys,42,wrong,inverse,block_01,0.3312463938507665
peak_complement,peaks,valleys,42,wrong,inverse,block_02,0.4117155400191395
peak_complement,peaks,valleys,42,wrong,inverse,block_03,0.5388450358708414
peak_complement,peaks,valleys,42,wrong,inverse,block_04,0.33012667049779426
peak_complement,peaks,valleys,42,wrong,inverse,final_norm,0.28861018571844765
peak_complement,peaks,valleys,101,identity,identity,embedding,0.8170457960490458
peak_complement,peaks,valleys,101,identity,identity,block_01,0.2967937902819745
peak_complement,peaks,valleys,101,identity,identity,block_02,0.35959871331131465
peak_complement,peaks,valleys,101,identity,identity,block_03,0.5534786353402626
peak_complement,peaks,valleys,101,identity,identity,block_04,0.5774748609481504
peak_complement,peaks,valleys,101,identity,identity,final_norm,0.5535581116579087
peak_complement,peaks,valleys,101,correct,complement,embedding,0.8170457960490458
peak_complement,peaks,valleys,101,correct,complement,block_01,0.3436340233120846
peak_complement,peaks,valleys,101,correct,complement,block_02,0.40972708362361465
peak_complement,peaks,valleys,101,correct,complement,block_03,0.6440108565132218
peak_complement,peaks,valleys,101,correct,complement,block_04,0.7200844545881657
peak_complement,peaks,valleys,101,correct,complement,final_norm,0.7187931689203307
peak_complement,peaks,valleys,101,wrong,inverse,embedding,0.8170457960490458
peak_complement,peaks,valleys,101,wrong,inverse,block_01,0.30910652729914934
