related_pair_count,cell_count,final_layer_cka_mean,final_layer_cka_sample_sd,final_layer_cka_min,final_layer_cka_max
0,12,0.2935176629265557,0.1987953010142727,0.15738719961341532,0.7337923567705181
1,12,0.2752318312431766,0.17129752265757794,0.1439402284012759,0.6932276189970173
2,12,0.2662058304175453,0.17184260647607408,0.08060099522095977,0.6393604486615667
4,12,0.3647590368265024,0.25860548791278815,0.04479323112776983,0.7956742144610506
