comparison,task_a,task_b,seed_a,seed_b,same_seed,layer,linear_cka
same_task,fixed_points,fixed_points,42,101,False,block_04,0.12559148021606456
same_task,fixed_points,fixed_points,42,101,False,final_norm,0.11088150755139359
same_task,anti_fixed_points,anti_fixed_points,17,42,False,embedding,0.7687795750207083
same_task,anti_fixed_points,anti_fixed_points,17,42,False,block_01,0.36037424844726185
same_task,anti_fixed_points,anti_fixed_points,17,42,False,block_02,0.31988063566996994
same_task,anti_fixed_points,anti_fixed_points,17,42,False,block_03,0.4052278675848888
same_task,anti_fixed_points,anti_fixed_points,17,42,False,block_04,0.340887777959427
same_task,anti_fixed_points,anti_fixed_points,17,42,False,final_norm,0.35379841147169677
same_task,anti_fixed_points,anti_fixed_points,17,101,False,embedding,0.7308172323317349
same_task,anti_fixed_points,anti_fixed_points,17,101,False,block_01,0.2792219691647139
same_task,anti_fixed_points,anti_fixed_points,17,101,False,block_02,0.23113963879761365
same_task,anti_fixed_points,anti_fixed_points,17,101,False,block_03,0.2891131378819929
same_task,anti_fixed_points,anti_fixed_points,17,101,False,block_04,0.20870996267244613
same_task,anti_fixed_points,anti_fixed_points,17,101,False,final_norm,0.21987970493593711
same_task,anti_fixed_points,anti_fixed_points,42,101,False,embedding,0.7347781203690624
same_task,anti_fixed_points,anti_fixed_points,42,101,False,block_01,0.24395786009779305
same_task,anti_fixed_points,anti_fixed_points,42,101,False,block_02,0.221543494011115
same_task,anti_fixed_points,anti_fixed_points,42,101,False,block_03,0.30397741031506736
same_task,anti_fixed_points,anti_fixed_points,42,101,False,block_04,0.26609330872002107
same_task,anti_fixed_points,anti_fixed_points,42,101,False,final_norm,0.2738391975289859
same_task,exceedances,exceedances,17,42,False,embedding,0.9456314794530352
same_task,exceedances,exceedances,17,42,False,block_01,0.8452921013264615
same_task,exceedances,exceedances,17,42,False,block_02,0.8674724195800866
same_task,exceedances,exceedances,17,42,False,block_03,0.8778678368989451
same_task,exceedances,exceedances,17,42,False,block_04,0.7879281021901755
same_task,exceedances,exceedances,17,42,False,final_norm,0.8135386739250362
same_task,exceedances,exceedances,17,101,False,embedding,0.9310119520453611
same_task,exceedances,exceedances,17,101,False,block_01,0.882608674361046
same_task,exceedances,exceedances,17,101,False,block_02,0.8880766317663094
same_task,exceedances,exceedances,17,101,False,block_03,0.8711655233009551
same_task,exceedances,exceedances,17,101,False,block_04,0.7566765358262724
same_task,exceedances,exceedances,17,101,False,final_norm,0.7957618279271034
same_task,exceedances,exceedances,42,101,False,embedding,0.9387625007673966
same_task,exceedances,exceedances,42,101,False,block_01,0.8493785628495879
same_task,exceedances,exceedances,42,101,False,block_02,0.905588136183587
same_task,exceedances,exceedances,42,101,False,block_03,0.8881923264325332
same_task,exceedances,exceedances,42,101,False,block_04,0.7455494811128027
same_task,exceedances,exceedances,42,101,False,final_norm,0.7785582707383865
