trained_task_count,replicate_count,macro_loss_mean,macro_loss_sample_sd,macro_token_accuracy_mean,macro_token_accuracy_sample_sd,macro_sequence_accuracy_mean,macro_sequence_accuracy_sample_sd,macro_majority_baseline_sequence_accuracy_mean,macro_majority_baseline_sequence_accuracy_sample_sd,macro_sequence_accuracy_minus_majority_mean,macro_sequence_accuracy_minus_majority_sample_sd
1,3,6.328495490550995,0.8061565986609507,0.5437825520833334,0.009099515540114091,0.11171874999999999,0.027099917298363203,0.32832031250000004,0.0,-0.21660156249999998,0.027099917298363203
2,3,4.569155173748731,0.45871277044202086,0.5381510416666666,0.014393064785658244,0.08945312500000001,0.018536174975297467,0.32832031250000004,0.0,-0.2388671875,0.018536174975297453
4,3,3.4345532454550267,0.1706106931285145,0.5495768229166667,0.009390415656897716,0.10605468750000001,0.014824463210270263,0.32832031250000004,0.0,-0.22226562500000002,0.014824463210270263
8,3,3.0014626227319243,0.5088767839897,0.5488932291666666,0.010700528834694256,0.1056640625,0.0223408815903575,0.32832031250000004,0.0,-0.22265625,0.022340881590357502
16,3,2.3192257006963093,0.07854672136793467,0.5814778645833333,0.006543940381836408,0.1634765625,0.013688605834324399,0.32832031250000004,0.0,-0.16484374999999998,0.0136886058343244
