replicate_id,model_seed,trained_task_count,final_layer_linear_cka
r0,17,1,0.22384582077792706
r0,17,2,0.3303524888153667
r0,17,4,0.3192263593511833
r0,17,8,0.8033356166098011
r0,17,16,0.4327955508771078
r3,17,1,0.07302908225669853
r3,17,2,0.11537319700007398
r3,17,4,0.13489909277509024
r3,17,8,0.6327657750857498
r3,17,16,0.7911995002131574
r4,17,1,0.004875043041256785
r4,17,2,0.08000672931611066
r4,17,4,0.4528389143556582
r4,17,8,0.4957524389083803
r4,17,16,0.5772901488129262
