trained_task_count,replicate_count,final_layer_linear_cka_mean,final_layer_linear_cka_sample_sd,final_layer_linear_cka_min,final_layer_linear_cka_max
1,3,0.10058331535862745,0.1120556879280438,0.004875043041256785,0.22384582077792706
2,3,0.17524413837718378,0.13548670429547996,0.08000672931611066,0.3303524888153667
4,3,0.30232145549397726,0.15964261450968184,0.13489909277509024,0.4528389143556582
8,3,0.643951276867977,0.15409636397013435,0.4957524389083803,0.8033356166098011
16,3,0.6004283999677305,0.180318833527717,0.4327955508771078,0.7911995002131574
