pool,trained_task_count,run_id,architecture,seed,task,task_family,task_status,evaluation_split,examples,supervised_tokens,loss,token_accuracy,sequence_accuracy,majority_baseline_sequence_accuracy,sequence_accuracy_minus_majority
A,1,property-a-transformer-tasks01-seed17,transformer,17,descents,local,seen,validation,160,320,0.00018115155398845673,1.0,1.0,0.09375,0.90625
A,1,property-a-transformer-tasks01-seed17,transformer,17,recoils,local,opposite_pool,validation,160,320,5.002557754516602,0.703125,0.40625,0.10625,0.3
A,1,property-a-transformer-tasks01-seed17,transformer,17,peaks,local,same_pool_unseen,validation,160,320,8.682630920410157,0.5625,0.125,0.1125,0.012499999999999997
A,1,property-a-transformer-tasks01-seed17,transformer,17,valleys,local,opposite_pool,validation,160,320,9.308211708068848,0.534375,0.06875,0.1375,-0.06875
A,1,property-a-transformer-tasks01-seed17,transformer,17,double_ascents,local,same_pool_unseen,validation,160,320,9.376130294799804,0.51875,0.0375,0.2,-0.1625
A,1,property-a-transformer-tasks01-seed17,transformer,17,double_descents,local,opposite_pool,validation,160,320,9.464350509643555,0.5125,0.03125,0.23125,-0.2
A,1,property-a-transformer-tasks01-seed17,transformer,17,successions,local,same_pool_unseen,validation,160,320,10.064083290100097,0.45,0.01875,0.4,-0.38125000000000003
A,1,property-a-transformer-tasks01-seed17,transformer,17,adjacencies,local,opposite_pool,validation,160,320,8.498031902313233,0.534375,0.1,0.325,-0.225
A,1,property-a-transformer-tasks01-seed17,transformer,17,fixed_points,positional,same_pool_unseen,validation,160,320,9.871076011657715,0.459375,0.025,0.44375,-0.41874999999999996
A,1,property-a-transformer-tasks01-seed17,transformer,17,anti_fixed_points,positional,opposite_pool,validation,160,320,9.279060363769531,0.490625,0.06875,0.4375,-0.36875
A,1,property-a-transformer-tasks01-seed17,transformer,17,exceedances,positional,same_pool_unseen,validation,160,320,6.598157691955566,0.61875,0.2375,0.09375,0.14375
A,1,property-a-transformer-tasks01-seed17,transformer,17,deficiencies,positional,opposite_pool,validation,160,320,5.919740009307861,0.65625,0.3125,0.1,0.2125
A,1,property-a-transformer-tasks01-seed17,transformer,17,left_to_right_maxima,positional,same_pool_unseen,validation,160,320,8.548056411743165,0.5375,0.075,0.28125,-0.20625
A,1,property-a-transformer-tasks01-seed17,transformer,17,left_to_right_minima,positional,opposite_pool,validation,160,320,8.368164825439454,0.534375,0.06875,0.26875,-0.19999999999999998
A,1,property-a-transformer-tasks01-seed17,transformer,17,right_to_left_maxima,positional,same_pool_unseen,validation,160,320,8.501564025878906,0.53125,0.0625,0.35625,-0.29375
A,1,property-a-transformer-tasks01-seed17,transformer,17,right_to_left_minima,positional,opposite_pool,validation,160,320,8.589265060424804,0.540625,0.08125,0.24375,-0.16249999999999998
A,1,property-a-transformer-tasks01-seed17,transformer,17,cycle_count,cycle,same_pool_unseen,validation,160,320,8.214681243896484,0.56875,0.1375,0.2625,-0.125
A,1,property-a-transformer-tasks01-seed17,transformer,17,two_cycle_count,cycle,opposite_pool,validation,160,320,9.686214447021484,0.4625,0.1125,0.675,-0.5625
A,1,property-a-transformer-tasks01-seed17,transformer,17,three_cycle_count,cycle,same_pool_unseen,validation,160,320,10.35606689453125,0.446875,0.025,0.71875,-0.69375
A,1,property-a-transformer-tasks01-seed17,transformer,17,even_cycle_count,cycle,opposite_pool,validation,160,320,9.243355178833008,0.509375,0.05,0.375,-0.325
A,1,property-a-transformer-tasks01-seed17,transformer,17,odd_cycle_count,cycle,same_pool_unseen,validation,160,320,8.702451133728028,0.540625,0.1,0.325,-0.225
A,1,property-a-transformer-tasks01-seed17,transformer,17,longest_cycle,cycle,same_pool_unseen,validation,160,320,8.654648113250733,0.553125,0.11875,0.0875,0.03125
A,1,property-a-transformer-tasks01-seed17,transformer,17,shortest_cycle,cycle,opposite_pool,validation,160,320,8.613877487182616,0.534375,0.06875,0.6125,-0.5437500000000001
A,1,property-a-transformer-tasks01-seed17,transformer,17,nontrivial_cycle_count,cycle,opposite_pool,validation,160,320,8.269547653198241,0.54375,0.0875,0.35625,-0.26875000000000004
A,1,property-a-transformer-tasks01-seed17,transformer,17,lis_length,global_run,same_pool_unseen,validation,160,320,8.13824758529663,0.578125,0.15625,0.2,-0.04375000000000001
A,1,property-a-transformer-tasks01-seed17,transformer,17,lds_length,global_run,opposite_pool,validation,160,320,7.424028968811035,0.58125,0.1625,0.175,-0.012499999999999983
A,1,property-a-transformer-tasks01-seed17,transformer,17,longest_increasing_run,global_run,same_pool_unseen,validation,160,320,8.802542972564698,0.5375,0.075,0.44375,-0.36874999999999997
A,1,property-a-transformer-tasks01-seed17,transformer,17,longest_decreasing_run,global_run,opposite_pool,validation,160,320,8.72207202911377,0.534375,0.06875,0.4375,-0.36875
A,1,property-a-transformer-tasks01-seed17,transformer,17,global_descents,global_run,same_pool_unseen,validation,160,320,10.196794700622558,0.425,0.10625,0.8375,-0.7312500000000001
A,1,property-a-transformer-tasks01-seed17,transformer,17,components,global_run,opposite_pool,validation,160,320,8.256086730957032,0.546875,0.09375,0.79375,-0.7
A,1,property-a-transformer-tasks01-seed17,transformer,17,max_displacement,global_run,same_pool_unseen,validation,160,320,8.946443176269531,0.55,0.1125,0.075,0.037500000000000006
A,1,property-a-transformer-tasks01-seed17,transformer,17,displacement_one_count,global_run,opposite_pool,validation,160,320,8.688743209838867,0.521875,0.0625,0.3,-0.2375
A,2,property-a-transformer-tasks02-seed17,transformer,17,descents,local,seen,validation,160,320,0.2438576340675354,0.903125,0.80625,0.09375,0.7125
A,2,property-a-transformer-tasks02-seed17,transformer,17,recoils,local,opposite_pool,validation,160,320,1.8504022121429444,0.69375,0.3875,0.10625,0.28125
A,2,property-a-transformer-tasks02-seed17,transformer,17,peaks,local,same_pool_unseen,validation,160,320,3.935675621032715,0.5625,0.125,0.1125,0.012499999999999997
A,2,property-a-transformer-tasks02-seed17,transformer,17,valleys,local,opposite_pool,validation,160,320,4.295903301239013,0.534375,0.06875,0.1375,-0.06875
A,2,property-a-transformer-tasks02-seed17,transformer,17,double_ascents,local,same_pool_unseen,validation,160,320,4.968425941467285,0.51875,0.0375,0.2,-0.1625
A,2,property-a-transformer-tasks02-seed17,transformer,17,double_descents,local,opposite_pool,validation,160,320,5.114209175109863,0.515625,0.03125,0.23125,-0.2
A,2,property-a-transformer-tasks02-seed17,transformer,17,successions,local,same_pool_unseen,validation,160,320,5.298929214477539,0.509375,0.01875,0.4,-0.38125000000000003
A,2,property-a-transformer-tasks02-seed17,transformer,17,adjacencies,local,opposite_pool,validation,160,320,4.808926773071289,0.55,0.1,0.325,-0.225
A,2,property-a-transformer-tasks02-seed17,transformer,17,fixed_points,positional,seen,validation,160,320,0.00491124801337719,0.996875,0.99375,0.44375,0.55
A,2,property-a-transformer-tasks02-seed17,transformer,17,anti_fixed_points,positional,opposite_pool,validation,160,320,4.925251007080078,0.534375,0.06875,0.4375,-0.36875
A,2,property-a-transformer-tasks02-seed17,transformer,17,exceedances,positional,same_pool_unseen,validation,160,320,2.4087826728820803,0.63125,0.2625,0.09375,0.16875
A,2,property-a-transformer-tasks02-seed17,transformer,17,deficiencies,positional,opposite_pool,validation,160,320,2.2043519020080566,0.665625,0.33125,0.1,0.23124999999999998
A,2,property-a-transformer-tasks02-seed17,transformer,17,left_to_right_maxima,positional,same_pool_unseen,validation,160,320,4.665004920959473,0.5375,0.075,0.28125,-0.20625
A,2,property-a-transformer-tasks02-seed17,transformer,17,left_to_right_minima,positional,opposite_pool,validation,160,320,4.714855003356933,0.534375,0.06875,0.26875,-0.19999999999999998
A,2,property-a-transformer-tasks02-seed17,transformer,17,right_to_left_maxima,positional,same_pool_unseen,validation,160,320,4.852637863159179,0.53125,0.0625,0.35625,-0.29375
A,2,property-a-transformer-tasks02-seed17,transformer,17,right_to_left_minima,positional,opposite_pool,validation,160,320,4.65200138092041,0.540625,0.08125,0.24375,-0.16249999999999998
A,2,property-a-transformer-tasks02-seed17,transformer,17,cycle_count,cycle,same_pool_unseen,validation,160,320,4.425109815597534,0.56875,0.1375,0.2625,-0.125
A,2,property-a-transformer-tasks02-seed17,transformer,17,two_cycle_count,cycle,opposite_pool,validation,160,320,4.969245052337646,0.55625,0.1125,0.675,-0.5625
A,2,property-a-transformer-tasks02-seed17,transformer,17,three_cycle_count,cycle,same_pool_unseen,validation,160,320,5.342582511901855,0.5125,0.025,0.71875,-0.69375
A,2,property-a-transformer-tasks02-seed17,transformer,17,even_cycle_count,cycle,opposite_pool,validation,160,320,4.99680118560791,0.525,0.05,0.375,-0.325
A,2,property-a-transformer-tasks02-seed17,transformer,17,odd_cycle_count,cycle,same_pool_unseen,validation,160,320,4.610716438293457,0.55,0.1,0.325,-0.225
A,2,property-a-transformer-tasks02-seed17,transformer,17,longest_cycle,cycle,same_pool_unseen,validation,160,320,4.4019042491912845,0.55,0.125,0.0875,0.037500000000000006
A,2,property-a-transformer-tasks02-seed17,transformer,17,shortest_cycle,cycle,opposite_pool,validation,160,320,4.913460350036621,0.53125,0.0625,0.6125,-0.55
A,2,property-a-transformer-tasks02-seed17,transformer,17,nontrivial_cycle_count,cycle,opposite_pool,validation,160,320,4.711636924743653,0.54375,0.0875,0.35625,-0.26875000000000004
