pool,trained_task_count,task_status,task_count,macro_loss,macro_token_accuracy,macro_sequence_accuracy,macro_majority_baseline_sequence_accuracy,macro_sequence_accuracy_minus_majority
A,1,seen,1,0.00018115155398845673,1.0,1.0,0.09375,0.90625
A,1,same_pool_unseen,15,8.910238297780355,0.5252083333333333,0.09416666666666668,0.3225,-0.22833333333333333
A,1,opposite_pool,16,8.333331739902496,0.5462890625,0.115234375,0.3484375,-0.233203125
A,2,seen,2,0.1243844410404563,0.95,0.9,0.26875,0.6312500000000001
A,2,same_pool_unseen,14,4.578286399160112,0.546875,0.09999999999999999,0.3138392857142857,-0.2138392857142857
A,2,opposite_pool,16,4.406465610861778,0.5576171875,0.115234375,0.3484375,-0.233203125
A,4,seen,4,0.4062269113957882,0.8109375,0.621875,0.25,0.371875
A,4,same_pool_unseen,12,3.6537042816480003,0.5682291666666667,0.14010416666666667,0.32760416666666664,-0.1875
A,4,opposite_pool,16,3.2293646782636642,0.5783203125,0.156640625,0.3484375,-0.191796875
A,8,seen,8,0.4212287169415504,0.818359375,0.63671875,0.29609375,0.340625
A,8,same_pool_unseen,8,3.880982702970505,0.526171875,0.0578125,0.3203125,-0.2625
A,8,opposite_pool,16,3.3402682095766068,0.5419921875,0.084375,0.3484375,-0.26406250000000003
A,16,seen,16,0.49600522278342396,0.7943359375,0.588671875,0.308203125,0.28046875
A,16,opposite_pool,16,2.595601515471935,0.5984375,0.196875,0.3484375,-0.1515625
B,1,seen,1,0.18672016859054566,0.91875,0.8375,0.10625,0.7312500000000001
B,1,same_pool_unseen,15,5.389815820058187,0.52125,0.05291666666666666,0.3645833333333333,-0.31166666666666665
B,1,opposite_pool,16,5.194862021505832,0.5224609375,0.068359375,0.308203125,-0.23984375
B,2,seen,2,0.47588992714881895,0.8125,0.625,0.271875,0.353125
B,2,same_pool_unseen,14,4.118468465123858,0.5372767857142857,0.075,0.359375,-0.284375
B,2,opposite_pool,16,3.977282519638538,0.5375,0.0765625,0.308203125,-0.23164062500000002
B,4,seen,4,0.36344288736581803,0.84921875,0.6984375,0.3484375,0.35
B,4,same_pool_unseen,12,3.5441022356351213,0.5322916666666667,0.06666666666666667,0.3484375,-0.28177083333333336
B,4,opposite_pool,16,3.464659830927849,0.5359375,0.083203125,0.308203125,-0.225
B,8,seen,8,0.44661141019314526,0.80703125,0.6140625,0.30546875,0.30859375
B,8,same_pool_unseen,8,3.3075234293937683,0.553125,0.10703125,0.39140625,-0.284375
B,8,opposite_pool,16,3.251454082131386,0.546484375,0.102734375,0.308203125,-0.20546875
B,16,seen,16,0.47957600485533475,0.7994140625,0.598828125,0.3484375,0.250390625
B,16,opposite_pool,16,1.8810550056397914,0.577734375,0.158203125,0.308203125,-0.15
