protocol_version,matrix,condition,run_id,architecture,trained_task_count,seed,evaluation_group,task_count,task_macro_token_accuracy,task_macro_sequence_accuracy
henry-permutation/v2-revised,nested,,transformer-tasks04-seed314159,transformer,4,314159,pool_unseen,12,0.37794641905952037,0.067708333333333329
henry-permutation/v2-revised,nested,,transformer-tasks04-seed314159,transformer,4,314159,fixed_train_holdout,4,0.34038230786766877,0.015625
henry-permutation/v2-revised,nested,,transformer-tasks04-seed314159,transformer,4,314159,seen,4,0.88967268170999636,0.69218750000000007
henry-permutation/v2-revised,nested,,mlp-tasks04-seed17,mlp,4,17,pool_unseen,12,0.41141558689106961,0.070833333333333345
henry-permutation/v2-revised,nested,,mlp-tasks04-seed17,mlp,4,17,fixed_train_holdout,4,0.35649617858003718,0.0234375
henry-permutation/v2-revised,nested,,mlp-tasks04-seed17,mlp,4,17,seen,4,0.76358648388868544,0.46875
henry-permutation/v2-revised,nested,,mlp-tasks04-seed42,mlp,4,42,pool_unseen,12,0.40882638517347164,0.019791666666666669
henry-permutation/v2-revised,nested,,mlp-tasks04-seed42,mlp,4,42,fixed_train_holdout,4,0.37407587619089155,0.050000000000000003
henry-permutation/v2-revised,nested,,mlp-tasks04-seed42,mlp,4,42,seen,4,0.76359277737092635,0.47499999999999998
henry-permutation/v2-revised,nested,,mlp-tasks04-seed314159,mlp,4,314159,pool_unseen,12,0.41035317909395075,0.042187499999999996
henry-permutation/v2-revised,nested,,mlp-tasks04-seed314159,mlp,4,314159,fixed_train_holdout,4,0.3796434943539535,0.020312500000000001
henry-permutation/v2-revised,nested,,mlp-tasks04-seed314159,mlp,4,314159,seen,4,0.76002580327718783,0.47187500000000004
henry-permutation/v2-revised,nested,,transformer-tasks08-seed17,transformer,8,17,pool_unseen,8,0.36985147551629122,0.012539556962025317
henry-permutation/v2-revised,nested,,transformer-tasks08-seed17,transformer,8,17,fixed_train_holdout,4,0.31054539473507864,0.0062500000000000003
henry-permutation/v2-revised,nested,,transformer-tasks08-seed17,transformer,8,17,seen,8,0.86631546028077122,0.60771233974358974
henry-permutation/v2-revised,nested,,transformer-tasks08-seed42,transformer,8,42,pool_unseen,8,0.37475514393591042,0.038419699367088604
henry-permutation/v2-revised,nested,,transformer-tasks08-seed42,transformer,8,42,fixed_train_holdout,4,0.28947238223963401,0.018749999999999999
henry-permutation/v2-revised,nested,,transformer-tasks08-seed42,transformer,8,42,seen,8,0.87464093332589632,0.61231971153846154
henry-permutation/v2-revised,nested,,transformer-tasks08-seed314159,transformer,8,314159,pool_unseen,8,0.39242022624379291,0.026700949367088608
henry-permutation/v2-revised,nested,,transformer-tasks08-seed314159,transformer,8,314159,fixed_train_holdout,4,0.2974565637861375,0.0015625000000000001
henry-permutation/v2-revised,nested,,transformer-tasks08-seed314159,transformer,8,314159,seen,8,0.8746378493420619,0.60610977564102564
henry-permutation/v2-revised,nested,,mlp-tasks08-seed17,mlp,8,17,pool_unseen,8,0.41457212182468173,0.020539952531645568
henry-permutation/v2-revised,nested,,mlp-tasks08-seed17,mlp,8,17,fixed_train_holdout,4,0.33738271374273593,0
henry-permutation/v2-revised,nested,,mlp-tasks08-seed17,mlp,8,17,seen,8,0.76780445021844757,0.39945913461538463
henry-permutation/v2-revised,nested,,mlp-tasks08-seed42,mlp,8,42,pool_unseen,8,0.44231367864368043,0.023625395569620254
henry-permutation/v2-revised,nested,,mlp-tasks08-seed42,mlp,8,42,fixed_train_holdout,4,0.34279279626610509,0
henry-permutation/v2-revised,nested,,mlp-tasks08-seed42,mlp,8,42,seen,8,0.76388412554359508,0.41508413461538463
henry-permutation/v2-revised,nested,,mlp-tasks08-seed314159,mlp,8,314159,pool_unseen,8,0.42503073864353375,0.0055379746835443038
henry-permutation/v2-revised,nested,,mlp-tasks08-seed314159,mlp,8,314159,fixed_train_holdout,4,0.35328994078901321,0
henry-permutation/v2-revised,nested,,mlp-tasks08-seed314159,mlp,8,314159,seen,8,0.75918935467484694,0.4206330128205128
henry-permutation/v2-revised,nested,,transformer-tasks16-seed17,transformer,16,17,seen,16,0.81071624172720613,0.49977001176566049
henry-permutation/v2-revised,nested,,transformer-tasks16-seed17,transformer,16,17,fixed_train_holdout,4,0.32411356050170775,0
henry-permutation/v2-revised,nested,,transformer-tasks16-seed42,transformer,16,42,seen,16,0.81041819612993071,0.50215369908308993
henry-permutation/v2-revised,nested,,transformer-tasks16-seed42,transformer,16,42,fixed_train_holdout,4,0.26884751365074788,0
henry-permutation/v2-revised,nested,,transformer-tasks16-seed314159,transformer,16,314159,seen,16,0.80482858459109141,0.48614821689386561
henry-permutation/v2-revised,nested,,transformer-tasks16-seed314159,transformer,16,314159,fixed_train_holdout,4,0.26999804491751322,0.0031250000000000002
henry-permutation/v2-revised,nested,,mlp-tasks16-seed17,mlp,16,17,seen,16,0.72114931308723296,0.3555148997890295
henry-permutation/v2-revised,nested,,mlp-tasks16-seed17,mlp,16,17,fixed_train_holdout,4,0.33170827490434507,0.010937499999999999
henry-permutation/v2-revised,nested,,mlp-tasks16-seed42,mlp,16,42,seen,16,0.71847147709835935,0.35152395731905223
henry-permutation/v2-revised,nested,,mlp-tasks16-seed42,mlp,16,42,fixed_train_holdout,4,0.32904738429287206,0.012500000000000001
henry-permutation/v2-revised,nested,,mlp-tasks16-seed314159,mlp,16,314159,seen,16,0.72160581346922537,0.35778384655955858
henry-permutation/v2-revised,nested,,mlp-tasks16-seed314159,mlp,16,314159,fixed_train_holdout,4,0.33855307748252073,0.0093749999999999997
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-transformer-seed17,transformer,4,17,encoding_e4,4,0.99794256808361825,0.89052526595744674
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-transformer-seed17,transformer,4,17,statistics_s4,4,0.23598969924288796,0
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-transformer-seed17,transformer,4,17,algebra_a4,4,0.36361028374283655,0
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-transformer-seed42,transformer,4,42,encoding_e4,4,0.9947762035409331,0.80827792553191491
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-transformer-seed42,transformer,4,42,statistics_s4,4,0.24293214528924634,0
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-transformer-seed42,transformer,4,42,algebra_a4,4,0.35228298688145188,0
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-transformer-seed314159,transformer,4,314159,encoding_e4,4,0.99293799178319764,0.80392287234042548
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-transformer-seed314159,transformer,4,314159,statistics_s4,4,0.18091601183315983,0
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-transformer-seed314159,transformer,4,314159,algebra_a4,4,0.34317269931534766,0
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-mlp-seed17,mlp,4,17,encoding_e4,4,0.76169018931776444,0.16190159574468085
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-mlp-seed17,mlp,4,17,statistics_s4,4,0.28227438379019004,0
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-mlp-seed17,mlp,4,17,algebra_a4,4,0.32020119192827262,0
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-mlp-seed42,mlp,4,42,encoding_e4,4,0.75698521398140683,0.16033909574468086
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-mlp-seed42,mlp,4,42,statistics_s4,4,0.24571802440766741,0
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-mlp-seed42,mlp,4,42,algebra_a4,4,0.3084415118333394,0
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-mlp-seed314159,mlp,4,314159,encoding_e4,4,0.74732366386626403,0.15408909574468085
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-mlp-seed314159,mlp,4,314159,statistics_s4,4,0.22221812075979622,0
henry-permutation/v2-revised,category,encoding_e4,category-encoding-e4-mlp-seed314159,mlp,4,314159,algebra_a4,4,0.25135035173811376,0
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-transformer-seed17,transformer,4,17,encoding_e4,4,0.12049084592747868,0
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-transformer-seed17,transformer,4,17,statistics_s4,4,0.87262149044804671,0.49687500000000001
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-transformer-seed17,transformer,4,17,algebra_a4,4,0.20797871700531737,0.04746835443037975
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-transformer-seed42,transformer,4,42,encoding_e4,4,0.13128106127009198,0
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-transformer-seed42,transformer,4,42,statistics_s4,4,0.88215347651440157,0.49062500000000003
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-transformer-seed42,transformer,4,42,algebra_a4,4,0.21923938994600434,0.049050632911392403
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-transformer-seed314159,transformer,4,314159,encoding_e4,4,0.12058390109369907,0
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-transformer-seed314159,transformer,4,314159,statistics_s4,4,0.86456232167533231,0.47968749999999999
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-transformer-seed314159,transformer,4,314159,algebra_a4,4,0.21551601953349631,0.04588607594936709
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-mlp-seed17,mlp,4,17,encoding_e4,4,0.19454422431011928,0
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-mlp-seed17,mlp,4,17,statistics_s4,4,0.81478224174789071,0.36875000000000002
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-mlp-seed17,mlp,4,17,algebra_a4,4,0.25898094804060073,0.060126582278481014
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-mlp-seed42,mlp,4,42,encoding_e4,4,0.22460376404609669,0
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-mlp-seed42,mlp,4,42,statistics_s4,4,0.82477916677909968,0.40937499999999999
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-mlp-seed42,mlp,4,42,algebra_a4,4,0.27211596213116895,0.028481012658227847
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-mlp-seed314159,mlp,4,314159,encoding_e4,4,0.20792375358599335,0
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-mlp-seed314159,mlp,4,314159,statistics_s4,4,0.82282885500828695,0.390625
henry-permutation/v2-revised,category,statistics_s4,category-statistics-s4-mlp-seed314159,mlp,4,314159,algebra_a4,4,0.27307122775988618,0.058544303797468354
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-transformer-seed17,transformer,4,17,encoding_e4,4,0.34994927749198584,0
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-transformer-seed17,transformer,4,17,statistics_s4,4,0.2527556276122922,0
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-transformer-seed17,transformer,4,17,algebra_a4,4,0.9986750930331012,0.98082958049334634
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-transformer-seed42,transformer,4,42,encoding_e4,4,0.34250110091533703,0
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-transformer-seed42,transformer,4,42,statistics_s4,4,0.26100618029449402,0
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-transformer-seed42,transformer,4,42,algebra_a4,4,0.99973794549266248,0.99318181818181817
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-transformer-seed314159,transformer,4,314159,encoding_e4,4,0.35388496259930097,0
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-transformer-seed314159,transformer,4,314159,statistics_s4,4,0.29925475888978204,0
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-transformer-seed314159,transformer,4,314159,algebra_a4,4,0.9985176255147139,0.96866987179487185
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-mlp-seed17,mlp,4,17,encoding_e4,4,0.4311683243323759,0
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-mlp-seed17,mlp,4,17,statistics_s4,4,0.19810143145267234,0.0062500000000000003
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-mlp-seed17,mlp,4,17,algebra_a4,4,0.79826077580577548,0.32458474410610488
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-mlp-seed42,mlp,4,42,encoding_e4,4,0.38289213435491859,0
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-mlp-seed42,mlp,4,42,statistics_s4,4,0.18874105403104288,0
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-mlp-seed42,mlp,4,42,algebra_a4,4,0.7901533122557125,0.32762910876043788
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-mlp-seed314159,mlp,4,314159,encoding_e4,4,0.41537761646420063,0
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-mlp-seed314159,mlp,4,314159,statistics_s4,4,0.19533215321577338,0.0031250000000000002
henry-permutation/v2-revised,category,algebra_a4,category-algebra-a4-mlp-seed314159,mlp,4,314159,algebra_a4,4,0.79362377137071349,0.30642736087751909
