comparison,architecture,pool_a,task_count_a,run_id_a,pool_b,task_count_b,run_id_b,layer,probe_examples,linear_cka
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,embedding,4096,0.8023699557014538
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,block_01,4096,0.10099335489421041
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,block_02,4096,0.05104846517111749
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,block_03,4096,0.013818642244379733
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,block_04,4096,0.006180551057879815
disjoint_pools_equal_k,transformer,a,1,property-a-transformer-tasks01-seed17,b,1,property-b-transformer-tasks01-seed17,final_norm,4096,0.004875043041256785
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,embedding,4096,0.765897457215914
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,block_01,4096,0.13893122578212122
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,block_02,4096,0.16873495221650972
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,block_03,4096,0.06615213985693155
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,block_04,4096,0.052330794290047104
disjoint_pools_equal_k,transformer,a,2,property-a-transformer-tasks02-seed17,b,2,property-b-transformer-tasks02-seed17,final_norm,4096,0.08000672931611066
