pool,trained_task_count,run_id,architecture,seed,task,task_family,task_status,evaluation_split,examples,supervised_tokens,loss,token_accuracy,sequence_accuracy,majority_baseline_sequence_accuracy,sequence_accuracy_minus_majority
A,1,property-a-transformer-tasks01-seed101,transformer,101,descents,local,opposite_pool,validation,160,320,8.53117618560791,0.275,0.0375,0.09375,-0.05625
A,1,property-a-transformer-tasks01-seed101,transformer,101,recoils,local,same_pool_unseen,validation,160,320,7.674728012084961,0.34375,0.0375,0.10625,-0.06875
A,1,property-a-transformer-tasks01-seed101,transformer,101,peaks,local,opposite_pool,validation,160,320,4.693196821212768,0.5,0.10625,0.1125,-0.0062500000000000056
A,1,property-a-transformer-tasks01-seed101,transformer,101,valleys,local,opposite_pool,validation,160,320,5.081115436553955,0.4875,0.08125,0.1375,-0.05625000000000001
A,1,property-a-transformer-tasks01-seed101,transformer,101,double_ascents,local,opposite_pool,validation,160,320,2.581744337081909,0.58125,0.1625,0.2,-0.037500000000000006
A,1,property-a-transformer-tasks01-seed101,transformer,101,double_descents,local,same_pool_unseen,validation,160,320,2.9815446853637697,0.575,0.15,0.23125,-0.08125000000000002
A,1,property-a-transformer-tasks01-seed101,transformer,101,successions,local,seen,validation,160,320,0.35600306987762453,0.85,0.7,0.4,0.29999999999999993
A,1,property-a-transformer-tasks01-seed101,transformer,101,adjacencies,local,same_pool_unseen,validation,160,320,1.762457299232483,0.640625,0.28125,0.325,-0.04375000000000001
A,1,property-a-transformer-tasks01-seed101,transformer,101,fixed_points,positional,opposite_pool,validation,160,320,2.3523661613464357,0.659375,0.31875,0.44375,-0.125
A,1,property-a-transformer-tasks01-seed101,transformer,101,anti_fixed_points,positional,opposite_pool,validation,160,320,2.3529121398925783,0.665625,0.33125,0.4375,-0.10625000000000001
A,1,property-a-transformer-tasks01-seed101,transformer,101,exceedances,positional,same_pool_unseen,validation,160,320,8.267593288421631,0.2875,0.025,0.09375,-0.06875
A,1,property-a-transformer-tasks01-seed101,transformer,101,deficiencies,positional,same_pool_unseen,validation,160,320,8.03792724609375,0.303125,0.025,0.1,-0.07500000000000001
A,1,property-a-transformer-tasks01-seed101,transformer,101,left_to_right_maxima,positional,opposite_pool,validation,160,320,3.732725667953491,0.5125,0.03125,0.28125,-0.25
A,1,property-a-transformer-tasks01-seed101,transformer,101,left_to_right_minima,positional,same_pool_unseen,validation,160,320,3.477912998199463,0.534375,0.075,0.26875,-0.19374999999999998
A,1,property-a-transformer-tasks01-seed101,transformer,101,right_to_left_maxima,positional,opposite_pool,validation,160,320,3.597812128067017,0.53125,0.06875,0.35625,-0.2875
A,1,property-a-transformer-tasks01-seed101,transformer,101,right_to_left_minima,positional,same_pool_unseen,validation,160,320,3.5574084758758544,0.515625,0.0375,0.24375,-0.20625
A,1,property-a-transformer-tasks01-seed101,transformer,101,cycle_count,cycle,opposite_pool,validation,160,320,3.8922439575195313,0.51875,0.04375,0.2625,-0.21875
A,1,property-a-transformer-tasks01-seed101,transformer,101,two_cycle_count,cycle,same_pool_unseen,validation,160,320,2.3112033367156983,0.709375,0.41875,0.675,-0.25625000000000003
A,1,property-a-transformer-tasks01-seed101,transformer,101,three_cycle_count,cycle,opposite_pool,validation,160,320,1.8608133316040039,0.75625,0.5125,0.71875,-0.20625000000000004
A,1,property-a-transformer-tasks01-seed101,transformer,101,even_cycle_count,cycle,same_pool_unseen,validation,160,320,2.030919146537781,0.64375,0.2875,0.375,-0.08750000000000002
A,1,property-a-transformer-tasks01-seed101,transformer,101,odd_cycle_count,cycle,same_pool_unseen,validation,160,320,2.3927614212036135,0.625,0.25,0.325,-0.07500000000000001
A,1,property-a-transformer-tasks01-seed101,transformer,101,longest_cycle,cycle,opposite_pool,validation,160,320,9.867751502990723,0.228125,0.0125,0.0875,-0.075
A,1,property-a-transformer-tasks01-seed101,transformer,101,shortest_cycle,cycle,same_pool_unseen,validation,160,320,2.708329200744629,0.56875,0.1875,0.6125,-0.42500000000000004
A,1,property-a-transformer-tasks01-seed101,transformer,101,nontrivial_cycle_count,cycle,opposite_pool,validation,160,320,2.502588081359863,0.559375,0.11875,0.35625,-0.23750000000000002
A,1,property-a-transformer-tasks01-seed101,transformer,101,lis_length,global_run,opposite_pool,validation,160,320,5.653382873535156,0.459375,0.00625,0.2,-0.19375
