pool,trained_task_count,task_status,task_count,macro_loss,macro_token_accuracy,macro_sequence_accuracy,macro_majority_baseline_sequence_accuracy,macro_sequence_accuracy_minus_majority
A,1,seen,1,0.35600306987762453,0.85,0.7,0.4,0.29999999999999993
A,1,same_pool_unseen,15,4.4153483263651525,0.5068750000000001,0.15125,0.31333333333333335,-0.16208333333333333
A,1,opposite_pool,16,4.1141643762588505,0.533203125,0.151953125,0.337890625,-0.1859375
A,2,seen,2,0.09477848820388317,0.959375,0.91875,0.25,0.66875
A,2,same_pool_unseen,14,5.158391322408404,0.5533482142857143,0.11160714285714286,0.32857142857142857,-0.21696428571428572
A,2,opposite_pool,16,5.199689126014709,0.5458984375,0.09375,0.337890625,-0.244140625
A,4,seen,4,0.23459277004003523,0.9046875,0.809375,0.296875,0.5125
A,4,same_pool_unseen,12,3.92150559425354,0.5440104166666667,0.08802083333333333,0.3260416666666667,-0.23802083333333335
A,4,opposite_pool,16,3.978395891189575,0.5388671875,0.077734375,0.337890625,-0.26015625
A,8,seen,8,0.33638316798023876,0.8640625,0.728125,0.37265625,0.35546875
A,8,same_pool_unseen,8,2.38728539198637,0.552734375,0.10546875,0.26484375,-0.159375
A,8,opposite_pool,16,2.444525984674692,0.5853515625,0.170703125,0.337890625,-0.1671875
A,16,seen,16,0.451514562824741,0.8103515625,0.620703125,0.31875,0.301953125
A,16,opposite_pool,16,2.17104419991374,0.5888671875,0.177734375,0.337890625,-0.16015625
B,1,seen,1,0.00018270723521709442,1.0,1.0,0.09375,0.90625
B,1,same_pool_unseen,15,8.191344356536865,0.5399999999999999,0.08333333333333333,0.3541666666666667,-0.2708333333333333
B,1,opposite_pool,16,7.615601870417595,0.5607421875,0.12578125,0.31875,-0.19296875
B,2,seen,2,0.002959588170051575,1.0,1.0,0.1875,0.8125
B,2,same_pool_unseen,14,6.435471752711705,0.5412946428571429,0.08348214285714285,0.359375,-0.27589285714285716
B,2,opposite_pool,16,5.909238687157631,0.5619140625,0.125390625,0.31875,-0.193359375
B,4,seen,4,0.29608825081959367,0.86796875,0.7359375,0.3234375,0.4125
B,4,same_pool_unseen,12,3.986947462956111,0.5588541666666667,0.11979166666666667,0.34270833333333334,-0.22291666666666665
B,4,opposite_pool,16,4.15602213293314,0.559765625,0.123046875,0.31875,-0.195703125
B,8,seen,8,0.4161816267296672,0.822265625,0.64453125,0.38046875,0.2640625
B,8,same_pool_unseen,8,2.231482982635498,0.6078125,0.23515625,0.2953125,-0.06015625
B,8,opposite_pool,16,2.520520471036434,0.5666015625,0.152734375,0.31875,-0.166015625
B,16,seen,16,0.5376358321169391,0.76875,0.5375,0.337890625,0.199609375
B,16,opposite_pool,16,2.433935797214508,0.596484375,0.19296875,0.31875,-0.12578125
